Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-331.5277	-333.1166	1.588918	0.1231571	0.1784682
1	1	-317.127	-319.3588	2.231779	0.1769488	0.06039039
2	2	-254.8554	-258.7174	3.862001	0.008990775	0.06532615
3	3	-294.4749	-297.2972	2.82228	0.06358836	0.1147006
4	4	-286.7092	-289.7968	3.087629	0.02809962	0.1236545
5	0	-273.5374	-275.1335	1.596099	0.03082426	0.2700829
6	1	-233.7362	-237.174	3.437789	0.04994431	0.06679379
7	2	-223.1065	-226.4613	3.354799	0.01931235	0.1057247
8	3	-253.5381	-256.1542	2.616131	0.02532292	0.173581
9	4	-221.328	-225.0984	3.770353	0.03208797	0.05139379
10	0	-238.8867	-241.9922	3.105524	0.01658341	0.1333812
11	1	-219.4804	-222.5821	3.101747	0.05518203	0.09516025
12	2	-221.4954	-224.0443	2.548862	0.02631	0.1793208
13	3	-222.2105	-224.863	2.652471	0.03548491	0.159785
14	4	-219.0978	-222.5337	3.435883	0.06623817	0.05069059
15	0	-221.6567	-223.3567	1.699938	0.02139204	0.2691311
16	1	-219.5037	-222.8637	3.359974	0.03165464	0.09286495
17	2	-220.5474	-222.9354	2.38803	0.01916087	0.2025532
18	3	-221.6222	-223.4354	1.813188	0.05957768	0.2196205
19	4	-219.7142	-223.4862	3.771994	0.02311429	0.06020333
20	0	-222.138	-222.105	-0.03302719	0.01090969	0.45291
21	1	-218.4467	-222.2587	3.812025	0.0193728	0.0599417
22	2	-219.6728	-222.8673	3.19445	0.005813924	0.1352581
23	3	-223.4312	-222.2683	-1.162918	0.1964369	0.3803719
24	4	-219.3474	-223.121	3.773606	0.01841133	0.06474505
25	0	-225.193	-223.1636	-2.029367	0.02376152	0.6396922
26	1	-219.7563	-223.5199	3.763556	0.0308554	0.053306
27	2	-220.7503	-223.3671	2.616847	0.006691208	0.1921411
28	3	-224.873	-223.3607	-1.512309	0.168298	0.4434498
29	4	-219.1854	-222.5772	3.391819	0.06051147	0.06082367
30	0	-220.942	-223.6116	2.669597	0.0258264	0.1677309
31	1	-218.7366	-222.1701	3.433576	0.08656325	0.0305962
32	2	-218.3009	-222.2943	3.993468	0.00456337	0.05660685
33	3	-220.875	-222.2654	1.390486	0.150068	0.1714004
34	4	-220.631	-224.6204	3.989337	0.05043732	0.01114602
35	0	-220.1672	-223.061	2.893804	0.06335235	0.1077842
36	1	-219.2452	-222.2752	3.029924	0.1291727	0.0283519
37	2	-218.5045	-222.501	3.996434	0.003003382	0.05787024
38	3	-219.9687	-222.9791	3.010451	0.0805558	0.07891613
39	4	-219.7938	-223.7829	3.989101	0.05992615	0.001680804
40	0	-221.0591	-223.102	2.042882	0.092184	0.1640448
41	1	-219.925	-222.0379	2.112978	0.2243239	0.02489535
42	2	-218.215	-222.4881	4.273021	0.003613353	0.02960152
43	3	-218.7643	-222.4616	3.697263	0.08137903	0.009411725
44	4	-220.3084	-222.8238	2.515391	0.2079125	0.001065441
45	0	-219.5993	-223.2679	3.668608	0.01413427	0.07952193
46	1	-220.6276	-222.1623	1.534738	0.2807971	0.0262461
47	2	-218.3883	-222.736	4.3477	0.006478256	0.01926877
48	3	-218.8386	-223.0985	4.25982	0.0249698	0.009565233
49	4	-219.0362	-222.0707	3.034499	0.1562334	0.0008337199
50	0	-218.368	-222.1027	3.734691	0.03338305	0.05366487
51	1	-219.1009	-222.1141	3.013185	0.1230005	0.03619804
52	2	-218.0266	-222.4492	4.422566	0.003787005	0.01447345
53	3	-218.3041	-222.5641	4.260049	0.02179678	0.01271538
54	4	-219.1255	-222.1155	2.990062	0.1604928	0.001018043
55	0	-218.1699	-222.189	4.0191	0.0269465	0.03166049
56	1	-220.7983	-223.5605	2.762212	0.1413472	0.04294863
57	2	-218.3808	-222.6259	4.24505	0.008712202	0.02729984
58	3	-220.6922	-224.7189	4.026707	0.04751317	0.01033317
59	4	-219.0438	-222.7398	3.69603	0.09013287	0.0007811759
60	0	-219.1134	-223.2021	4.088661	0.03984694	0.01180393
61	1	-219.6154	-222.1766	2.561191	0.1843954	0.02000245
62	2	-219.4609	-223.705	4.244131	0.009560874	0.02654306
63	3	-218.7691	-222.4588	3.689734	0.07065155	0.02089205
64	4	-219.13	-222.5611	3.431033	0.1168768	0.0005368933
65	0	-219.2143	-223.0404	3.826065	0.06724294	0.01066754
66	1	-219.6629	-222.1112	2.448291	0.2033209	0.01236707
67	2	-219.2313	-223.1795	3.948208	0.004624895	0.06107131
68	3	-218.5944	-222.6478	4.053441	0.0339392	0.02123369
69	4	-218.6483	-222.3544	3.706074	0.08675846	0.003151168
70	0	-218.5502	-222.2234	3.673197	0.0716459	0.02155141
71	1	-223.9866	-222.2875	-1.699105	0.6229607	0.007466826
72	2	-219.5966	-222.9981	3.401553	0.01368725	0.1066745
73	3	-218.5502	-222.6615	4.111365	0.02562129	0.02375924
74	4	-218.614	-222.4856	3.871595	0.06929973	0.004057798
75	0	-221.0011	-224.9972	3.996065	0.04102672	0.01988385
76	1	-223.8416	-222.9891	-0.8525561	0.540915	0.004857652
77	2	-222.0552	-225.3906	3.335468	0.005005767	0.1219645
78	3	-218.6218	-222.1707	3.548931	0.06305683	0.04256712
79	4	-219.4444	-223.0921	3.647688	0.09401065	0.00173759
80	0	-218.7245	-222.7139	3.989405	0.01262671	0.04894982
81	1	-220.5301	-222.4124	1.882221	0.2677506	0.004544329
82	2	-219.0711	-222.3734	3.30235	0.01859486	0.1116872
83	3	-220.6089	-223.1408	2.531928	0.1354586	0.07186559
84	4	-219.223	-223.0139	3.79088	0.07474285	0.00668613
85	0	-218.2496	-222.2525	4.002835	0.01711911	0.04311437
86	1	-220.0895	-222.3435	2.254049	0.2330407	0.002071435
87	2	-218.9365	-222.2723	3.335859	0.03719602	0.08973512
88	3	-220.7525	-222.976	2.223548	0.169987	0.06817522
89	4	-219.3141	-222.3675	3.053388	0.148059	0.007119207
90	0	-219.2925	-223.0609	3.768389	0.01774907	0.06592905
91	1	-220.004	-222.8654	2.861416	0.1724818	0.001893677
92	2	-220.7004	-224.0819	3.381567	0.05199644	0.07036391
93	3	-219.6332	-222.6613	3.028112	0.1199182	0.03778761
94	4	-219.7954	-222.2329	2.437514	0.2118486	0.00491702
95	0	-219.7327	-222.8334	3.100689	0.0682191	0.08222899
96	1	-221.036	-222.768	1.731971	0.2860538	0.001266058
97	2	-219.7857	-222.7625	2.9768	0.1307029	0.03213407
98	3	-219.2857	-222.7444	3.458699	0.04870007	0.06594705
99	4	-219.6433	-223.0011	3.357803	0.1228704	0.001866316
100	0	-219.648	-222.0478	2.399737	0.02349805	0.1970453
101	1	-223.4832	-225.6145	2.131329	0.2465001	0.000884042
102	2	-222.6299	-224.9205	2.290618	0.1832007	0.04825457
103	3	-220.5665	-222.9773	2.410826	0.03641455	0.1830199
104	4	-220.0919	-223.6998	3.607826	0.09708977	0.002644607
105	0	-220.5165	-222.3828	1.866259	0.03586085	0.2380303
106	1	-219.3427	-222.2916	2.948835	0.164341	0.001292444
107	2	-221.0406	-222.678	1.637382	0.2672394	0.02953939
108	3	-221.9925	-222.4563	0.4638508	0.05263444	0.3614975
109	4	-218.4391	-222.2921	3.853024	0.07348398	0.001730654
110	0	-223.4242	-223.1532	-0.2709485	0.1175943	0.3700176
111	1	-219.8969	-222.1353	2.238452	0.2353325	0.001339359
112	2	-218.9844	-222.0641	3.079639	0.1017332	0.0508199
113	3	-221.3533	-222.3191	0.9657998	0.04439385	0.3195432
114	4	-219.082	-222.7221	3.640058	0.09346255	0.003048701
115	0	-223.6083	-224.6992	1.090877	0.1357769	0.2156524
116	1	-220.0282	-222.269	2.240752	0.233646	0.002795756
117	2	-219.2632	-222.3789	3.115675	0.09462873	0.05432076
118	3	-220.8469	-222.1926	1.345688	0.04097373	0.2849745
119	4	-218.6366	-222.2411	3.604528	0.09587418	0.004189992
120	0	-223.5114	-222.1826	-1.328826	0.1296724	0.4637272
121	1	-219.0408	-222.8831	3.842317	0.07409633	0.002189008
122	2	-218.6172	-222.3906	3.773414	0.04264905	0.04052659
123	3	-220.2338	-223.0212	2.787456	0.0243705	0.1574009
124	4	-218.1112	-222.202	4.090818	0.04501653	0.006418707
125	0	-221.6772	-222.7238	1.046559	0.1368676	0.2189935
126	1	-217.8949	-222.1202	4.225374	0.03653111	0.001448495
127	2	-219.2893	-222.8246	3.535299	0.06646054	0.04052659
128	3	-218.9493	-222.4333	3.483974	0.01517273	0.09694685
129	4	-219.0142	-222.422	3.407823	0.1163227	0.00341198
130	0	-223.1088	-222.7381	-0.3707524	0.1272463	0.3703459
131	1	-217.6441	-222.0965	4.45245	0.01111562	0.004156417
132	2	-220.1683	-223.8813	3.713043	0.0340124	0.05520031
133	3	-220.5372	-223.116	2.578857	0.02580532	0.176826
134	4	-220.8659	-224.1355	3.269592	0.1251892	0.008368606
135	0	-223.0113	-222.5866	-0.4247125	0.15722	0.3457683
136	1	-217.7166	-222.1677	4.451131	0.01275504	0.002648915
137	2	-218.7963	-222.4309	3.6346	0.02760528	0.06945176
138	3	-219.2133	-222.6916	3.478252	0.008738174	0.1039536
139	4	-219.1035	-222.5211	3.417515	0.1124904	0.006275149
140	0	-221.0329	-222.5842	1.551251	0.1587156	0.1466764
141	1	-219.8166	-224.0093	4.192626	0.03706266	0.004191738
142	2	-220.2656	-223.997	3.731418	0.02284502	0.06453018
143	3	-222.2388	-226.052	3.813204	0.004362808	0.07483384
144	4	-221.8294	-224.7655	2.93619	0.1574249	0.009473099
145	0	-220.7726	-222.3391	1.566554	0.1305071	0.1733546
146	1	-219.8063	-223.9941	4.187771	0.03823016	0.003509706
147	2	-220.8578	-224.0286	3.17079	0.07605512	0.06738289
148	3	-218.7636	-222.1732	3.40962	0.01494589	0.1046092
149	4	-221.8431	-223.8593	2.016146	0.2532992	0.005603233
150	0	-221.8792	-222.7733	0.8940935	0.09567867	0.275429
151	1	-218.4805	-222.6062	4.125723	0.04490831	0.003036388
152	2	-222.4924	-225.8473	3.354888	0.08351354	0.04151471
153	3	-221.0993	-224.9972	3.897941	0.01206905	0.05865384
154	4	-223.4116	-222.8022	-0.6093847	0.5065338	0.01492172
155	0	-222.3945	-223.3271	0.932585	0.1299729	0.2372856
156	1	-218.157	-222.2149	4.057937	0.05363217	0.001091192
157	2	-219.1596	-222.2492	3.089568	0.08421771	0.06734247
158	3	-220.9	-225.0132	4.113187	0.01433108	0.03486726
159	4	-222.9114	-222.825	-0.08637078	0.4578713	0.01128278
160	0	-220.2209	-222.4433	2.222405	0.1122707	0.1260059
161	1	-218.8358	-223.1526	4.316845	0.02840456	0.0004279519
162	2	-220.0369	-222.3005	2.263628	0.1360968	0.09805742
163	3	-218.9005	-222.2283	3.32781	0.02816463	0.09957137
164	4	-221.5211	-224.2098	2.688676	0.183608	0.008041514
165	0	-220.1684	-222.199	2.030623	0.2136109	0.04384382
166	1	-217.6478	-222.091	4.443278	0.01594717	0.0002420601
167	2	-220.3121	-222.2624	1.950369	0.1678531	0.09762703
168	3	-222.9405	-222.136	-0.8045309	0.0438342	0.4971359
169	4	-219.0593	-222.8558	3.796515	0.06984268	0.01102284
170	0	-223.1132	-224.8747	1.761542	0.2279144	0.05644834
171	1	-217.7187	-222.0995	4.380805	0.02226059	0.0001759647
172	2	-220.4386	-222.0756	1.636924	0.1478499	0.1489747
173	3	-220.0048	-222.6714	2.666588	0.05507274	0.1387855
174	4	-218.8109	-222.7173	3.906439	0.05840712	0.01146599
175	0	-221.7221	-222.1138	0.3916738	0.3363203	0.08502931
176	1	-217.9065	-222.293	4.386539	0.02162982	0.0002332528
177	2	-219.603	-222.2351	2.632149	0.03334251	0.1639597
178	3	-220.3825	-223.2039	2.82131	0.04573576	0.1326503
179	4	-218.7684	-222.6366	3.868175	0.06367836	0.01002116
180	0	-222.1389	-223.8346	1.695703	0.178695	0.1122517
181	1	-219.1426	-223.6122	4.469629	0.01316942	0.0003847299
182	2	-220.5595	-223.6595	3.100037	0.02222249	0.1282909
183	3	-220.7483	-223.8672	3.118904	0.0329545	0.1156721
184	4	-219.6714	-222.2655	2.594103	0.184631	0.01647572
185	0	-219.4702	-222.0996	2.62934	0.09537226	0.1022108
186	1	-217.7346	-222.1932	4.458595	0.0139585	0.0006990178
187	2	-220.6134	-223.8638	3.250444	0.02698829	0.1084844
188	3	-219.8221	-222.9076	3.085522	0.02804284	0.123922
189	4	-219.2477	-222.1756	2.927809	0.1545983	0.01313787
190	0	-220.17	-222.0463	1.87628	0.1063238	0.1665653
191	1	-217.9977	-222.3473	4.349579	0.02506031	0.000498848
192	2	-220.865	-222.7942	1.929195	0.06705109	0.2005464
193	3	-219.7522	-222.945	3.192811	0.03416279	0.1070732
194	4	-219.225	-223.234	4.008919	0.04490155	0.01472359
195	0	-221.925	-222.3801	0.4550998	0.1031284	0.3118787
196	1	-217.8167	-222.1833	4.366577	0.02341458	0.0004447545
197	2	-219.0038	-222.3826	3.378851	0.05465881	0.06797311
198	3	-219.6307	-222.4946	2.863814	0.02234311	0.1517925
199	4	-218.4957	-222.2417	3.746018	0.05076565	0.03514961
200	0	-220.1316	-222.4528	2.321129	0.08925305	0.1391511
201	1	-218.3191	-222.6293	4.310166	0.02788588	0.001614547
202	2	-221.1266	-222.1024	0.9758778	0.07246332	0.2904659
203	3	-223.6195	-223.3312	-0.288285	0.02666648	0.462679
204	4	-219.302	-222.7646	3.462548	0.04889516	0.06536706
205	0	-220.075	-222.0965	2.021449	0.07563138	0.1827408
206	1	-218.506	-222.8771	4.37111	0.020824	0.002582054
207	2	-221.8194	-223.2177	1.398305	0.1187954	0.2018911
208	3	-223.7528	-223.1684	-0.5844048	0.03465661	0.4843009
209	4	-218.4939	-222.1902	3.696303	0.03579778	0.05508896
210	0	-218.9817	-222.0796	3.097821	0.02627933	0.1244556
211	1	-218.5967	-222.9456	4.348876	0.0116078	0.01402157
212	2	-220.5078	-222.2614	1.753622	0.05015315	0.2350017
213	3	-222.3479	-224.503	2.155066	0.02993699	0.2150734
214	4	-218.328	-222.0793	3.751243	0.03165895	0.05373378
215	0	-220.7275	-223.7148	2.987266	0.03121282	0.1305776
216	1	-217.8487	-222.0952	4.246584	0.02588321	0.009975396
217	2	-219.5117	-222.4221	2.910397	0.05744355	0.1120337
218	3	-222.427	-224.6829	2.255904	0.03318306	0.2017435
219	4	-218.3745	-222.302	3.927566	0.01661582	0.05114458
220	0	-221.0093	-224.5005	3.491194	0.03754876	0.07384882
221	1	-220.87	-224.7993	3.929294	0.0588256	0.008761983
222	2	-221.0666	-223.7552	2.688564	0.03854738	0.1531132
223	3	-222.0834	-223.7446	1.661228	0.05115374	0.2432404
224	4	-218.8885	-222.5571	3.668605	0.0143385	0.07931803
225	0	-218.9274	-222.2816	3.354244	0.03577414	0.08931851
226	1	-218.6469	-223.0006	4.353705	0.0167217	0.008424824
227	2	-219.7811	-222.0472	2.266102	0.01415611	0.2197507
228	3	-221.0298	-222.7585	1.728694	0.01796346	0.2696842
229	4	-220.7254	-222.2517	1.526332	0.01594636	0.2919374
230	0	-219.5072	-223.2483	3.741055	0.0328563	0.05355523
231	1	-218.4501	-222.7067	4.256621	0.009115938	0.02573895
