Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-18.67006	-21.85708	3.187022	0.03675837	0.1050565
1	1	-24.74601	-24.46327	-0.2827356	0.2915634	0.1972272
2	0	-17.58248	-21.51586	3.933377	0.02186268	0.04531668
3	1	-22.58918	-24.26891	1.679732	0.2132172	0.07932663
4	0	-17.47715	-21.43699	3.959838	0.03083102	0.0337022
5	1	-20.5528	-22.78219	2.229395	0.0839561	0.1536214
6	0	-17.90172	-22.06162	4.159899	0.02323086	0.02129625
7	1	-17.73537	-21.46593	3.730563	0.01566198	0.07179871
8	0	-17.34958	-21.30449	3.954904	0.04819596	0.01683065
9	1	-18.51069	-21.67177	3.161086	0.05115763	0.09325081
10	0	-17.58094	-21.67565	4.094706	0.03357733	0.01746905
11	1	-18.03511	-21.46009	3.424982	0.03971696	0.0783019
12	0	-20.13742	-22.53195	2.394529	0.07867321	0.1423909
13	1	-20.27918	-22.6	2.320816	0.08232416	0.1461112
14	0	-20.55858	-22.67309	2.114513	0.150674	0.09839177
15	1	-22.81315	-23.64823	0.8350788	0.1931342	0.1838749
16	0	-18.66461	-21.74314	3.078531	0.1205881	0.03207582
17	1	-21.63844	-23.30312	1.66468	0.1993165	0.09473253
18	0	-17.79294	-21.33614	3.543207	0.05694763	0.04924866
19	1	-18.82094	-21.81568	2.99474	0.09230897	0.06873401
20	0	-17.84607	-21.33942	3.493351	0.07460785	0.03657407
21	1	-18.92615	-21.86609	2.939941	0.1230457	0.0434772
22	0	-18.5764	-21.68495	3.108545	0.1088363	0.04082621
23	1	-18.65506	-21.72656	3.071501	0.1047123	0.04865462
24	0	-18.10332	-21.54988	3.446559	0.0272926	0.08856852
25	1	-19.0929	-21.95353	2.860632	0.09310177	0.08135204
26	0	-18.15559	-21.48484	3.329246	0.07945587	0.0481366
27	1	-19.99595	-22.80529	2.809338	0.1517462	0.02783703
28	0	-18.5998	-21.71095	3.11115	0.06681694	0.0825851
29	1	-17.86016	-21.36051	3.500357	0.06087112	0.0496102
30	0	-19.14519	-22.09823	2.953036	0.1363279	0.02888548
