Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-47.73161	-60.98719	13.25558	0.006734986	0.005797461	0.0374289	0.01780184	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.0199845	0.04569283	0.0374289	0.00673499	0.00579746	0.04996135	0.4
1	1	-56.11513	-67.1962	11.08106	0.05588167	0.01088892	0.02316435	0.0002818161	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.035974	0.04070568	0.0231644	0.0558817	0.0108889	0.08993494	0.4
2	0	-48.02801	-60.7646	12.73658	0.005573244	0.009355135	0.03328312	0.03936189	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.00952606	0.08653627	0.0332831	0.00557324	0.00935514	0.04821149	0.1975889
3	1	-50.10723	-63.67072	13.56349	0.03701317	0.01082042	0.005294442	0.0007509226	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.000687204	0.01294291	0.00529444	0.0370132	0.0108204	0.05312803	0.01293487
4	0	-45.99607	-60.31843	14.32236	0.00264379	0.01245356	0.01689679	0.01883121	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.00255127	0.0458408	0.0168968	0.00264379	0.0124536	0.03199414	0.07974195
5	1	-48.29052	-61.88613	13.59561	0.01411023	0.01489445	0.02325444	0.001178142	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.014296	0.01452011	0.0232544	0.0141102	0.0148945	0.05225913	0.2735606
6	0	-46.37707	-59.9894	13.61233	0.003389445	0.01908647	0.01629975	0.01861485	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.00403487	0.07635172	0.0162997	0.00338944	0.0190865	0.03877567	0.1040569
7	1	-51.74583	-63.27761	11.53178	0.02090464	0.01645324	0.04833718	0.0008778416	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.0513192	0.02048983	0.0483372	0.0209046	0.0164532	0.08569505	0.598858
8	0	-46.78639	-60.30268	13.51629	0.001325168	0.0306517	0.00967216	0.02200301	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.00803306	0.06531869	0.00967216	0.00132517	0.0306517	0.04164903	0.1928751
9	1	-47.39043	-60.64015	13.24972	0.007558859	0.0188635	0.02338999	0.001068288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.01288	0.06390699	0.02339	0.00755886	0.0188635	0.04981235	0.2585707
10	0	-48.80161	-61.52879	12.72717	0.004261777	0.04088724	0.005852907	0.01872199	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.00685387	0.0913664	0.00585291	0.00426178	0.0408872	0.05100193	0.1343845
11	1	-48.13092	-61.13201	13.0011	0.009266503	0.02215706	0.02071804	0.001155051	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.0105169	0.07469974	0.020718	0.0092665	0.0221571	0.0521416	0.2016998
12	0	-49.81438	-63.5324	13.71802	0.001333591	0.02295061	0.002113743	0.02178165	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.00164591	0.1369181	0.00211374	0.00133359	0.0229506	0.02639794	0.06234987
13	1	-47.26216	-60.68138	13.41922	0.02506158	0.02494499	0.0002949656	0.0003201586	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.0161114	0.04476856	0.000294966	0.0250616	0.024945	0.05030154	0.3202963
14	0	-47.92426	-61.17004	13.24578	0.01184489	0.02102733	0.01136925	0.03510633	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.0162214	0.06370386	0.0113693	0.0118449	0.0210273	0.04424147	0.3666549
15	1	-46.19923	-60.68584	14.48661	0.02519331	0.006762384	0.000268122	0.001077404	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.00311769	0.04579064	0.000268122	0.0251933	0.00676238	0.03222381	0.09675113
16	0	-50.40807	-62.29472	11.88666	0.0399032	0.01357845	0.004045375	0.07137956	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.0287786	0.08359111	0.00404538	0.0399032	0.0135784	0.05752702	0.5002628
