Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-96.75081	-103.4182	6.667417	0.0005288601	0.1907188	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.000211544	0.009365117	0.00052886	0.0005288601	0.4
1	1	-60.19252	-66.70648	6.513964	0.02419775	0.001659795	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.0096791	0.07168677	0.0241977	0.02419775	0.4
2	0	-55.39104	-60.75541	5.364369	0.03421294	0.1183826	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.009802982	0.0342129	0.03421294	0.1447444
3	1	-57.64132	-61.89559	4.254272	0.0621054	0.01039136	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.023093	0.06136746	0.0621054	0.0621054	0.371836
4	0	-54.81563	-60.16524	5.349616	0.03245921	0.1185111	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.000536952	0.02167729	0.0324592	0.03245921	0.01654237
5	1	-58.08101	-61.84832	3.767311	0.0621054	0.03231969	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.0224132	0.08813522	0.0621054	0.0621054	0.3608904
6	0	-54.5481	-60.32699	5.778888	0.0313182	0.08518194	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0024937	0.0189286	0.0313182	0.0313182	0.07962468
7	1	-54.62892	-60.59928	5.970355	0.03392216	0.01734287	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.00472281	0.05198966	0.0339222	0.03392216	0.139225
8	0	-54.54786	-59.87295	5.325091	0.03590487	0.1114709	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.00143114	0.0104859	0.0359049	0.03590487	0.0398592
9	1	-55.09637	-60.77275	5.676379	0.03328884	0.04646406	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.0059036	0.05606785	0.0332888	0.03328884	0.1773449
10	0	-53.82744	-59.56792	5.740477	0.03590487	0.06184794	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.00162274	0.01857033	0.0359049	0.03590487	0.04519564
11	1	-55.07765	-60.97348	5.895828	0.0305855	0.06130797	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.00434427	0.0355069	0.0305855	0.0305855	0.1420367
12	0	-57.80548	-61.72686	3.921383	0.06540371	0.0630565	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.0380651	0.02219169	0.0654037	0.06540371	0.5820014
13	1	-55.84383	-61.23642	5.39259	0.04687139	0.03935563	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.0177763	0.01001998	0.0468714	0.04687139	0.379257
14	0	-57.76456	-61.53023	3.765676	0.06540371	0.07176597	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.0341756	0.02905287	0.0654037	0.06540371	0.5225333
15	1	-55.22059	-60.1882	4.967606	0.04687139	0.08513316	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.0105437	0.006740917	0.0468714	0.04687139	0.224949
16	0	-55.31952	-60.88417	5.564652	0.03243311	0.0940004	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.00537251	0.02484106	0.0324331	0.03243311	0.165649
17	1	-56.09481	-60.78798	4.693164	0.04687139	0.1115817	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.00443176	0.007736538	0.0468714	0.04687139	0.09455158
18	0	-55.03798	-60.26	5.222028	0.0379195	0.1048253	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.00673717	0.01534412	0.0379195	0.0379195	0.1776704
