Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta_0	delta_1	gamma_0	gamma_1	q_01	q_10
0	0	-1482.147	-1490.598	8.451663	0.02612808	0.02917938	0.01775033	0.1615735	0.2222105	0.07954293
1	1	-1323.15	-1331.267	8.116745	0.07819249	0.01948727	0.1739892	0.01472929	0.1483336	0.1351447
2	2	-1343.145	-1352.146	9.00082	0.1351447	0.04372075	0.1483336	0.1200534	0.01472929	0.01948727
3	3	-1389.202	-1399.162	9.960529	0.01948727	0.1560458	0.01472929	0.0314616	0.1200534	0.04372075
4	4	-1762.62	-1766.435	3.815188	0.05670932	0.2829996	0.2130722	0.07468949	0.02180484	0.3507569
5	5	-2159.671	-2165.188	5.517005	0.1560458	0.3507569	0.0314616	0.02180484	0.2130722	0.05670932
6	6	-1762.62	-1766.435	3.815188	0.05670932	0.2829996	0.2130722	0.07468949	0.02180484	0.3507569
7	7	-1641.4	-1646.88	5.479493	0.3507569	0.02866905	0.02180484	0.07468192	0.07468949	0.2829996
8	8	-1502.809	-1510.523	7.714532	0.2829996	0.07429914	0.07468949	0.0747586	0.07468192	0.02866905
9	9	-1840.173	-1846.555	6.38208	0.1139743	0.09853262	0.03593354	0.1691526	0.3035881	0.02216194
10	10	-4133.763	-4141.332	7.568354	0.07429914	0.02216194	0.0747586	0.3035881	0.03593354	0.1139743
11	11	-1840.173	-1846.555	6.38208	0.1139743	0.09853262	0.03593354	0.1691526	0.3035881	0.02216194
12	12	-1552.013	-1557.569	5.555368	0.02216194	0.1495076	0.3035881	0.08307133	0.1691526	0.09853262
13	13	-1413.117	-1419.59	6.473029	0.09853262	0.09227791	0.1691526	0.1417061	0.08307133	0.1495076
14	14	-1521.157	-1529.195	8.038376	0.1323382	0.006606428	0.1822954	0.01581183	0.02964004	0.2110215
15	15	-1460.947	-1466.87	5.922719	0.09227791	0.2110215	0.1417061	0.02964004	0.1822954	0.1323382
16	16	-1521.157	-1529.195	8.038376	0.1323382	0.006606428	0.1822954	0.01581183	0.02964004	0.2110215
17	17	-1357.408	-1366.059	8.651609	0.2110215	0.1937183	0.02964004	0.059592	0.01581183	0.006606428
18	18	-1270.605	-1279.657	9.052176	0.006606428	0.04604369	0.01581183	0.1545612	0.059592	0.1937183
19	19	-1457.71	-1465.598	7.888037	0.03348333	0.05819754	0.002685612	0.3986352	0.04311367	0.05663197
20	0	-1095.76	-1108.576	12.81577	0.006020885	0.05493889	0.009485431	0.006046706	0.01157398	0.01190819
21	1	-1138.835	-1151.167	12.33233	0.05634527	0.007984633	0.01720383	0.000441836	0.0322374	0.0341051
22	2	-1084.709	-1097.733	13.02402	0.03114648	0.01835693	0.01701112	0.001465622	0.008995951	0.00217313
23	3	-1101.274	-1113.873	12.59973	0.01265037	0.05827037	0.001399004	0.02572413	0.01248094	0.01105294
24	4	-1141.398	-1153.952	12.55349	0.05059815	0.003582474	0.006293267	0.003363869	0.02972749	0.03263705
25	5	-1096.194	-1109.008	12.81377	0.01088439	0.03882585	0.01453538	0.002075246	0.0164608	0.01739194
26	6	-1091.181	-1104.104	12.92344	0.01321274	0.04689215	0.0107647	0.003861186	0.00770573	0.006770875
27	7	-1094.237	-1107.08	12.84297	0.03743116	0.01930142	0.02151533	0.0009159611	0.009666564	0.008423284
28	8	-1081.393	-1094.448	13.05499	0.02802901	0.02346744	0.01148343	0.00164468	0.00872593	0.00270202
29	9	-1081.29	-1094.214	12.9244	0.02157047	0.04526123	0.004208146	0.005883672	0.006960173	0.005227024
30	10	-1090.489	-1103.339	12.8491	0.01369905	0.05363998	0.008696762	0.008487854	0.006927569	0.005189511
31	11	-1088.856	-1101.731	12.875	0.01260151	0.04860188	0.01124402	0.006300666	0.009327566	0.005975072
32	12	-1114.875	-1127.647	12.77134	0.002275988	0.03952698	0.01372957	0.002801019	0.02218981	0.02389332
33	13	-1093.685	-1106.71	13.02524	0.01275406	0.0443652	0.004605079	0.004211522	0.006693803	0.006397878
34	14	-1133.644	-1146.543	12.89889	0.03318613	0.0005531938	0.01660828	0.01285658	0.01389668	0.01456116
35	15	-1149.352	-1160.788	11.43574	0.003978693	0.05442715	0.01342265	0.001198694	0.06852385	0.09642648
36	16	-1089.694	-1102.803	13.10869	0.02210047	0.01671819	0.01289187	0.0002159303	0.01004832	0.008707581
37	17	-1095.062	-1107.904	12.84236	0.02362061	0.04447267	0.008711261	0.007455104	0.007980451	0.005074814
38	18	-1089.49	-1102.383	12.89327	0.01105913	0.05182186	0.00527211	0.006087353	0.009635872	0.008347493
39	19	-1088.373	-1101.25	12.87727	0.02057236	0.0476902	0.003704184	0.006026492	0.01058586	0.005245446
40	0	-1087.12	-1100.105	12.98469	0.02157714	0.04183675	0.005055975	0.004242022	0.007465236	0.002904673
41	1	-1099.564	-1112.374	12.80996	0.04067001	0.01944826	0.02174917	0.0002822394	0.01158589	0.006819406
42	2	-1080.717	-1093.898	13.18037	0.02398708	0.01946961	0.009815071	0.001814582	0.00741711	0.00101104
43	3	-1089.204	-1102.216	13.0114	0.01870035	0.04049598	0.003782049	0.00634565	0.008245584	0.002841207
44	4	-1130.476	-1143.549	13.0728	0.0317965	0.002932127	0.002088563	0.01201422	0.01266405	0.01277592
45	5	-1083.32	-1096.262	12.94228	0.01298656	0.03994588	0.01212233	0.001573954	0.01316767	0.007526524
46	6	-1092.167	-1105.071	12.90384	0.01972194	0.05245418	0.006414708	0.003980349	0.006586064	0.002009885
47	7	-1083.879	-1096.896	13.01684	0.03001672	0.02134655	0.01418292	0.001382139	0.009353635	0.003584971
48	8	-1084.845	-1097.883	13.03767	0.03189822	0.02257078	0.0115338	0.002038916	0.007203238	0.002539508
49	9	-1081.29	-1094.214	12.9244	0.02157047	0.04526123	0.004208146	0.005883672	0.006960173	0.005227024
50	10	-1080.917	-1093.808	12.89174	0.01970231	0.0432319	0.01109331	0.002083072	0.009415681	0.006850692
51	11	-1083.751	-1096.648	12.89698	0.02027044	0.05016288	0.003381934	0.004606655	0.008796254	0.004635222
52	12	-1086.007	-1099.177	13.17041	0.01145708	0.02691325	0.008504114	0.00158386	0.008982389	0.007069517
53	13	-1079.018	-1092.032	13.0135	0.02001448	0.0370567	0.007767578	0.002185587	0.009278525	0.003898012
54	14	-1123.261	-1136.388	13.12723	0.02450173	0.000809189	0.02023649	0.009953162	0.009967174	0.003360331
55	15	-1090.175	-1103	12.82506	0.01580565	0.05788493	0.005899815	0.007471387	0.007424822	0.004558748
56	16	-1086.94	-1100.043	13.10332	0.02210047	0.01671819	0.01289187	0.0002159303	0.01004832	0.009243897
57	17	-1088.953	-1101.787	12.8346	0.02168006	0.0539719	0.005735758	0.004395937	0.007757656	0.004549472
58	18	-1091.884	-1104.791	12.9069	0.01449599	0.04939827	0.005898609	0.006814645	0.01099818	0.003255258
59	19	-1083.978	-1096.818	12.83913	0.02375365	0.04917089	0.003721709	0.008103016	0.008299412	0.004589331
60	0	-1087.031	-1099.984	12.95385	0.01657285	0.04768877	0.003810246	0.007445529	0.007577326	0.003071372
61	1	-1085.833	-1098.96	13.12675	0.02656929	0.01440103	0.01573909	0.001492058	0.009455363	0.00121883
62	2	-1084.594	-1097.664	13.0703	0.02913001	0.02304935	0.0110573	0.002191834	0.008376617	0.0007162037
63	3	-1086.951	-1099.899	12.94778	0.01301621	0.04694323	0.00836318	0.005849072	0.007672842	0.004928342
64	4	-1086.922	-1099.884	12.96183	0.03095622	0.03372623	0.004133087	0.005487406	0.007293056	0.003772245
65	5	-1081.363	-1094.3	12.93668	0.01298656	0.03994588	0.01212233	0.001589362	0.01307205	0.008167283
66	6	-1081.915	-1094.869	12.95464	0.0201831	0.04325253	0.004012582	0.006063005	0.008283061	0.004292501
67	7	-1082.659	-1095.754	13.09441	0.02777082	0.02221058	0.01031543	0.002099765	0.008017454	0.00169558
68	8	-1081.401	-1094.473	13.07187	0.0302025	0.01811831	0.01427775	0.00166151	0.007626065	0.002477997
69	9	-1084.234	-1097.253	13.0189	0.0198428	0.04230541	0.002318396	0.005956663	0.006198072	0.003039482
70	10	-1079.293	-1092.246	12.95351	0.01970231	0.0432319	0.006555039	0.001328822	0.008618895	0.006763269
71	11	-1088.006	-1100.927	12.92097	0.02079829	0.0453866	0.003595041	0.006207644	0.009960438	0.003506523
72	12	-1082.859	-1095.967	13.10854	0.01145708	0.03250938	0.01095149	0.00158386	0.007125665	0.007069517
73	13	-1075.19	-1088.179	12.98895	0.02001448	0.03926583	0.008647706	0.002558364	0.009536628	0.002633263
74	14	-1121.598	-1134.668	13.07054	0.02358624	0.0007333274	0.02785617	0.0106941	0.00907624	0.002551427
75	15	-1083.375	-1096.391	13.01542	0.0225969	0.03746212	0.004851092	0.005676202	0.005738047	0.003684978
76	16	-1084.197	-1097.301	13.10343	0.02210047	0.01671819	0.01289187	0.0002054044	0.01004832	0.009243897
77	17	-1091.422	-1104.385	12.9631	0.01204446	0.05081488	0.00308976	0.005644562	0.00959041	0.004056509
78	18	-1091.672	-1104.656	12.98453	0.0270923	0.03885549	0.003385707	0.007356319	0.005673115	0.0007351674
79	19	-1083.978	-1096.818	12.83913	0.02375365	0.04917089	0.003721709	0.008103016	0.008299412	0.004589331
80	0	-1086.507	-1099.413	12.90572	0.01647459	0.05058989	0.006014669	0.004218202	0.008765415	0.004916505
81	1	-1083.361	-1096.491	13.13047	0.02796433	0.01451946	0.01472709	0.001398983	0.008480724	0.001413681
82	2	-1082.673	-1095.78	13.10721	0.02642878	0.01733001	0.0141023	0.001788826	0.008712351	0.002467712
83	3	-1076.995	-1089.975	12.97966	0.02003056	0.03745666	0.009381826	0.002790155	0.008160741	0.005765022
84	4	-1086.352	-1099.397	13.04452	0.02528586	0.0322365	0.003327515	0.005641713	0.007293056	0.003314705
85	5	-1083.635	-1096.588	12.9532	0.01141172	0.03994588	0.01204471	0.001589362	0.01307205	0.008167283
86	6	-1084.295	-1097.257	12.96149	0.0256508	0.03827478	0.006679711	0.004101647	0.009219451	0.001475223
87	7	-1081.227	-1094.289	13.06113	0.02934878	0.02108474	0.01248657	0.001331397	0.009067631	0.002119336
88	8	-1081.882	-1095.058	13.17633	0.02321757	0.01675779	0.01228943	0.001551641	0.008735288	0.001366395
89	9	-1084.135	-1097.142	13.00657	0.02470464	0.03522804	0.004034552	0.004815713	0.009831484	0.002280054
90	10	-1078.151	-1091.153	13.00255	0.01970231	0.03787943	0.006555039	0.001328822	0.01120506	0.004625325
91	11	-1090.08	-1102.915	12.83534	0.01654667	0.05608662	0.005198699	0.007195545	0.008990817	0.003998391
92	12	-1084.963	-1098.036	13.07361	0.01168328	0.03311988	0.01095149	0.00158386	0.009781922	0.007069517
93	13	-1080.212	-1093.187	12.97445	0.02001448	0.03926583	0.008647706	0.002558364	0.009536628	0.004082858
94	14	-1126.234	-1139.293	13.05866	0.02394873	0.001052161	0.02367234	0.0115452	0.01197589	0.003490382
95	15	-1082.601	-1095.607	13.00594	0.02791501	0.03354159	0.008756477	0.0006947647	0.008404069	0.001645474
96	16	-1084.197	-1097.301	13.10343	0.02210047	0.01671819	0.01289187	0.0002054044	0.01004832	0.009243897
97	17	-1091.897	-1104.669	12.77227	0.01615699	0.05795764	0.007594579	0.006750013	0.01131438	0.004550539
98	18	-1087.555	-1100.525	12.97023	0.01982849	0.04411649	0.003761677	0.005285389	0.009112777	0.002423568
99	19	-1083.978	-1096.818	12.83913	0.02375365	0.04917089	0.003721709	0.008103016	0.008299412	0.004589331
100	0	-1086.22	-1099.275	13.05461	0.02144399	0.03403921	0.004551688	0.003066311	0.009523699	0.00346551
101	1	-1081.185	-1094.315	13.13015	0.02720707	0.01899461	0.01037226	0.001691987	0.007896312	0.002373433
102	2	-1077.38	-1090.536	13.15605	0.02318246	0.0186882	0.01177691	0.001267162	0.008851	0.002180402
103	3	-1082.851	-1095.805	12.95393	0.02035859	0.03745666	0.0109046	0.003144729	0.007103968	0.007189973
104	4	-1085.875	-1098.868	12.99287	0.01921205	0.04209112	0.003871743	0.004320406	0.00824125	0.004527246
105	5	-1086.37	-1099.404	13.03432	0.01159051	0.03492977	0.009921551	0.00138037	0.01197133	0.008325319
106	6	-1084.519	-1097.589	13.06943	0.02150019	0.03827478	0.005734006	0.001405633	0.006098948	0.001594932
107	7	-1084.082	-1097.31	13.22767	0.02203904	0.01358146	0.0118325	0.001232017	0.007948877	0.002149969
108	8	-1084.021	-1097.222	13.2006	0.02208176	0.01642126	0.01133315	0.001590289	0.009038273	0.001026363
109	9	-1087.804	-1100.734	12.93023	0.01675205	0.04713421	0.00716652	0.005780909	0.007204213	0.004489993
110	10	-1078.069	-1091.071	13.00255	0.01970231	0.03787943	0.006555039	0.001329228	0.01120506	0.004625325
111	11	-1083.946	-1096.948	13.00148	0.02361407	0.03845754	0.00418444	0.005070751	0.006246953	0.003829155
112	12	-1079.279	-1092.32	13.04062	0.01155695	0.03311988	0.01095149	0.001834838	0.01071111	0.009314417
113	13	-1079.345	-1092.345	12.99962	0.02001448	0.03926583	0.006895042	0.001966531	0.009536628	0.003910243
114	14	-1084.966	-1098.005	13.03938	0.02947296	0.02112101	0.01261111	0.002491302	0.009684869	0.002231995
115	15	-1079.184	-1092.206	13.02188	0.01970619	0.03979437	0.008332798	0.0002737176	0.00770625	0.003549846
116	16	-1084.197	-1097.301	13.10343	0.02210047	0.01671819	0.01289187	0.0002054044	0.01004832	0.009243897
117	17	-1086.726	-1099.65	12.92444	0.01942833	0.04720558	0.003851481	0.005852754	0.008847299	0.00392129
118	18	-1087.055	-1100.05	12.99492	0.02065445	0.04310596	0.002784413	0.005877335	0.007181345	0.00245571
119	19	-1090.675	-1103.537	12.8623	0.01522312	0.05359356	0.003566361	0.008401467	0.007933522	0.006603376
120	0	-1076.908	-1089.895	12.9867	0.01832692	0.0420824	0.008079794	0.0009934213	0.009221195	0.004177545
121	1	-1080.004	-1093.101	13.09719	0.02713478	0.01996394	0.0128669	0.001646721	0.008452298	0.001767276
122	2	-1079.411	-1092.584	13.17298	0.02140266	0.01921222	0.01050442	0.001598484	0.008933334	0.002601842
123	3	-1080.325	-1093.291	12.96608	0.02035859	0.03808063	0.0109046	0.002576921	0.005848857	0.007173818
124	4	-1086.809	-1099.644	12.83479	0.01003066	0.05277913	0.01059736	0.005942933	0.0109884	0.007733126
125	5	-1079.551	-1092.602	13.051	0.01313875	0.03392197	0.009921551	0.001579433	0.009246991	0.008642172
126	6	-1081.375	-1094.525	13.14931	0.02534547	0.02156915	0.009046152	0.002381893	0.007297249	0.0009798693
127	7	-1083.758	-1096.886	13.12778	0.02486667	0.01876215	0.01210249	0.001725019	0.009377761	0.001939142
128	8	-1080.744	-1093.819	13.07441	0.02848834	0.02070061	0.01249393	0.001955671	0.008493566	0.001977817
129	9	-1084.392	-1097.328	12.9358	0.01983928	0.04654141	0.004346253	0.004642826	0.008624381	0.003976774
130	10	-1080.327	-1093.313	12.9854	0.01992809	0.03787943	0.006986567	0.001329228	0.01120506	0.005682335
131	11	-1084.626	-1097.569	12.94242	0.02160579	0.04501774	0.004206172	0.00560254	0.006852691	0.004024389
132	12	-1079.279	-1092.32	13.04062	0.01155695	0.03311988	0.01095149	0.001834838	0.01071111	0.009314417
133	13	-1077.123	-1090.073	12.9495	0.02413197	0.03926583	0.006895042	0.001798632	0.009008804	0.005500799
134	14	-1085.075	-1098.134	13.05941	0.0299209	0.01471221	0.01723316	0.001430248	0.01014025	0.002173024
135	15	-1077.196	-1090.212	13.01536	0.01970619	0.04006796	0.008332798	0.0003131903	0.00770625	0.003888588
136	16	-1084.197	-1097.301	13.10343	0.02210047	0.01671819	0.01289187	0.0002054044	0.01004832	0.009243897
137	17	-1084.943	-1097.948	13.00436	0.01941145	0.03872168	0.006807118	0.001885846	0.007980653	0.006307987
138	18	-1084.784	-1097.753	12.96918	0.02322889	0.042479	0.004024695	0.005476174	0.006048093	0.003376702
139	19	-1086.682	-1099.565	12.8831	0.02323338	0.04505063	0.004441694	0.005711386	0.01006857	0.004735254
140	0	-1078.108	-1091.098	12.99028	0.01832692	0.0420824	0.008079794	0.0006352828	0.009221195	0.004177545
141	1	-1081.306	-1094.452	13.14582	0.02528135	0.01650583	0.01251855	0.001601308	0.009284692	0.001777097
142	2	-1077.109	-1090.287	13.17787	0.02140266	0.01925758	0.01046032	0.001577862	0.008933334	0.002132649
143	3	-1080.285	-1093.251	12.96628	0.02035859	0.03808063	0.0109046	0.002556783	0.005848857	0.007173818
144	4	-1083.111	-1096.136	13.02554	0.01983457	0.03803946	0.004094325	0.005125886	0.007864011	0.00403843
145	5	-1080.991	-1094.076	13.08513	0.01313875	0.03392197	0.009921551	0.001593997	0.008732201	0.00572995
146	6	-1081.291	-1094.419	13.12804	0.02430586	0.01814694	0.0128071	0.001318978	0.009439768	0.002728384
147	7	-1079.098	-1092.206	13.10838	0.02354955	0.02172237	0.01117412	0.001567267	0.01014374	0.002556254
148	8	-1078.352	-1091.44	13.0876	0.0277437	0.01986579	0.01297324	0.001764546	0.008617366	0.001826844
149	9	-1084.302	-1097.188	12.88604	0.02434037	0.04788902	0.004455658	0.006295039	0.007085147	0.002881454
150	10	-1079.57	-1092.602	13.03109	0.01992809	0.03570931	0.006986567	0.0008500276	0.009285525	0.005682335
151	11	-1082.909	-1095.944	13.03551	0.02210196	0.03647616	0.004302332	0.004455015	0.007344831	0.003319705
152	12	-1078.704	-1091.765	13.06026	0.01161819	0.03311988	0.0108675	0.001175149	0.009429802	0.009314417
153	13	-1077.123	-1090.073	12.9495	0.02413197	0.03926583	0.006895042	0.001798632	0.009008804	0.005500799
154	14	-1084.394	-1097.575	13.18102	0.01984932	0.01690544	0.01217454	0.001126024	0.01033083	0.003062628
