Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-166.2446	-172.3301	6.085484	0.02091627	0.0435883	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.00836651	0.0934948	0.0209163	0.02091627	0.4
1	1	-199.7808	-206.7673	6.986476	0.003248897	0.03199276	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.00129956	0.1155262	0.0032489	0.003248897	0.4
2	0	-140.1813	-139.8634	-0.3178635	0.09751846	0.1595667	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.0454512	0.1819509	0.0975185	0.09751846	0.4660775
3	1	-135.9043	-137.1386	1.234284	0.1024344	0.04560559	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.0197136	0.1127233	0.102434	0.1024344	0.1924506
4	0	-133.7909	-137.1103	3.319432	0.07695674	0.06741227	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.011325	0.02738098	0.0769567	0.07695674	0.1471606
5	1	-133.5762	-135.1644	1.588219	0.1055695	0.08203149	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.0274896	0.02306409	0.105569	0.1055695	0.2603931
6	0	-134.0316	-136.1694	2.137799	0.1028521	0.04488272	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.0279349	0.02071794	0.102852	0.1028521	0.271603
7	1	-133.5842	-135.7675	2.183343	0.09915256	0.0523185	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.0270251	0.02977966	0.0991526	0.09915256	0.2725605
8	0	-135.0785	-137.3051	2.226567	0.1028521	0.01798116	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.0338738	0.03874276	0.102852	0.1028521	0.3293448
9	1	-135.0905	-137.0277	1.937175	0.09915256	0.02027717	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.0196405	0.08643778	0.0991526	0.09915256	0.1980839
