Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-38.35663	-38.21723	-0.1393959	0.2253876	0.2490691
1	1	-54.88859	-59.40346	4.514871	0.0005866074	0.008443267
2	0	-33.97028	-34.52999	0.5597066	0.1729845	0.2315618
3	1	-34.17365	-38.73971	4.566061	0.0003265451	0.00358442
4	0	-31.56408	-34.46333	2.899248	0.0563442	0.1142481
5	1	-32.55703	-36.95892	4.401885	0.0006552421	0.01967331
6	0	-31.7735	-34.32221	2.548709	0.04748087	0.1581653
7	1	-32.04621	-36.40153	4.35532	0.001796988	0.02318806
8	0	-32.95696	-34.54786	1.590899	0.0731148	0.2283123
9	1	-32.042	-36.31369	4.271691	0.002807397	0.03054056
10	0	-32.50845	-34.26674	1.758288	0.04352992	0.2411583
11	1	-31.20029	-34.6721	3.471809	0.00407596	0.1092602
12	0	-31.20778	-34.91286	3.705072	0.01947447	0.07053536
13	1	-31.44864	-34.94411	3.495467	0.001193894	0.1097764
14	0	-31.36594	-34.8768	3.510855	0.01102809	0.09840343
15	1	-33.82651	-34.72805	0.9015408	0.001213756	0.3691492
16	0	-30.80834	-34.39507	3.586728	0.01300938	0.08883486
17	1	-35.45798	-34.38774	-1.070247	0.001649705	0.565892
18	0	-31.81508	-35.94471	4.129629	0.008936967	0.03861716
19	1	-33.67801	-35.71132	2.033305	0.001279341	0.2559071
20	0	-33.68153	-36.00317	2.321645	0.04216512	0.1861874
21	1	-32.23791	-34.21884	1.980928	0.002449487	0.2599747
22	0	-34.64078	-34.99663	0.3558417	0.1439475	0.2809854
23	1	-33.12098	-34.56956	1.448587	0.004308305	0.31135
24	0	-37.20447	-35.19913	-2.005342	0.3351005	0.3259507
25	1	-34.13511	-36.89528	2.760175	0.002417351	0.1820822
26	0	-35.53513	-34.41638	-1.118748	0.3227203	0.2496715
27	1	-30.9106	-34.65665	3.746051	0.005582034	0.08032988
28	0	-33.09861	-34.77744	1.67883	0.04630999	0.2463241
29	1	-30.65139	-34.27604	3.62465	0.00432481	0.09372719
30	0	-33.01811	-34.00065	0.9825428	0.022495	0.3397677
31	1	-31.63107	-35.23519	3.604118	0.001687405	0.09841783
32	0	-33.22553	-34.36448	1.138949	0.01724631	0.3293758
33	1	-31.86968	-35.63195	3.762266	0.003376099	0.08091428
34	0	-31.604	-34.08859	2.48459	0.01367587	0.1983822
35	1	-30.26749	-34.01253	3.745038	0.0106214	0.07539185
36	0	-30.07979	-34.06328	3.983484	0.01980762	0.04236099
37	1	-30.33814	-34.37761	4.03946	0.008232121	0.04833887
38	0	-30.16316	-34.13012	3.966958	0.03131637	0.03250481
39	1	-30.96223	-34.4846	3.522373	0.08387128	0.02440846
40	0	-31.46736	-34.29491	2.827558	0.06148748	0.1162737
41	1	-31.45648	-34.30348	2.846999	0.1212232	0.0545939
42	0	-30.97865	-34.86096	3.882316	0.01478565	0.05749976
43	1	-32.59606	-35.15354	2.557482	0.1304152	0.07435355
44	0	-30.50984	-34.69678	4.186933	0.01511782	0.02670592
45	1	-32.37726	-35.56542	3.18816	0.08176451	0.0599365
46	0	-30.27803	-34.2229	3.944871	0.04727365	0.0187563
47	1	-31.20617	-34.61316	3.406994	0.0710887	0.0487289
