Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-126.1192	-137.5485	11.42936	0.06088772	0.01487426	0.01584724	2.490522e-05	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.0366437	0.008670946	0.0158472	0.0608877	0.0148743	0.09160923	0.4
1	1	-154.4703	-168.567	14.09668	0.01033542	0.0158462	0.0005479381	0.02621449	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.0106918	0.08494352	0.000547938	0.0103354	0.0158462	0.02672955	0.4
2	0	-124.7246	-135.9113	11.18676	0.06088772	0.003967798	0.03009116	2.923983e-05	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.0185325	0.01393474	0.0300912	0.0608877	0.0039678	0.09494668	0.1951888
3	1	-128.3567	-134.8828	6.526141	0.05139542	0.08338739	0.02975076	0.0181293	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.0962231	0.06591685	0.0297508	0.0513954	0.0833874	0.1645336	0.5848237
4	0	-126.0634	-136.8793	10.81594	0.06860197	0.02822142	0.001291474	8.960488e-05	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.0139995	0.03292799	0.00129147	0.068602	0.0282214	0.09811486	0.1426849
5	1	-128.6553	-135.8236	7.168283	0.06905775	0.06555983	0.02199576	0.02229064	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.10672	0.04261099	0.0219958	0.0690577	0.0655598	0.1566133	0.6814211
6	0	-125.2312	-136.7729	11.54169	0.06048577	0.01656393	0.009931206	0.0001274197	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.0174305	0.02367252	0.00993121	0.0604858	0.0165639	0.08698091	0.2003941
7	1	-132.2168	-135.4077	3.190933	0.08431007	0.1008455	0.03100631	0.04252237	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.168808	0.08125698	0.0310063	0.0843101	0.100845	0.2161618	0.7809352
8	0	-126.7939	-135.7933	8.999456	0.05869465	0.04725415	0.02407085	5.979251e-05	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.0457611	0.03305431	0.0240708	0.0586946	0.0472541	0.1300196	0.3519556
9	1	-128.0844	-137.1058	9.021375	0.009276872	0.1008455	0.01485671	0.009138259	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.0658105	0.05046727	0.0148567	0.00927687	0.100845	0.124979	0.5265721
10	0	-126.0119	-135.6072	9.595294	0.05869465	0.04786635	0.01233008	0.0002725589	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.0462304	0.03658422	0.0123301	0.0586946	0.0478664	0.1188911	0.3888468
11	1	-127.7882	-135.6292	7.840992	0.04375428	0.08057545	0.0227475	0.007951227	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0711752	0.0439441	0.0227475	0.0437543	0.0805754	0.1470772	0.4839305
12	0	-127.9126	-136.6075	8.694923	0.08361033	0.04327506	0.01075092	0.000644896	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.046929	0.01958029	0.0107509	0.0836103	0.0432751	0.1376363	0.3409639
13	1	-127.7338	-136.9301	9.19631	0.02244018	0.08057545	0.0221978	0.01221707	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.0715551	0.02856118	0.0221978	0.0224402	0.0805754	0.1252134	0.5714653
14	0	-126.6348	-135.3494	8.714548	0.07180983	0.04476361	0.02147523	0.0005674646	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.0835875	0.01534882	0.0214752	0.0718098	0.0447636	0.1380487	0.6054931
15	1	-129.4713	-138.2471	8.775808	0.02244018	0.08057545	0.02866303	0.03191444	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.0366864	0.01412397	0.028663	0.0224402	0.0805754	0.1316787	0.2786058
16	0	-130.1111	-135.3265	5.215423	0.07180983	0.0835721	0.04175948	0.001020008	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.154827	0.02854499	0.0417595	0.0718098	0.0835721	0.1971414	0.7853582
17	1	-128.008	-137.7909	9.782938	0.06528889	0.007413729	0.01977968	0.1297996	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.0252555	0.03857048	0.0197797	0.0652889	0.00741373	0.0924823	0.2730844
18	0	-126.8576	-135.5052	8.647573	0.03144978	0.07453285	0.03139229	0.0005026608	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.0773497	0.02594509	0.0313923	0.0314498	0.0745329	0.1373749	0.5630555
19	1	-126.654	-135.2287	8.574699	0.05098702	0.004010848	0.06633229	0.08653665	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.0480556	0.03850022	0.0663323	0.050987	0.00401085	0.1213302	0.3960732
20	0	-128.0314	-134.5135	6.482148	0.007472888	0.09979374	0.06759089	0.001025762	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.104138	0.02867195	0.0675909	0.00747289	0.0997937	0.1748575	0.5955575
21	1	-128.865	-135.7603	6.895359	0.06237279	0.0113206	0.06633229	0.0910967	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.0713863	0.09548839	0.0663323	0.0623728	0.0113206	0.1400257	0.5098083
22	0	-125.9435	-135.5151	9.571543	0.02127447	0.03514056	0.06393952	0.002645486	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.0601645	0.02825859	0.0639395	0.0212745	0.0351406	0.1203545	0.4998943
23	1	-127.0446	-135.8297	8.785075	0.0411429	0.03809051	0.04312379	0.02112659	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.0522912	0.07702831	0.0431238	0.0411429	0.0380905	0.1223572	0.4273649
