Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-15.46651	-19.56506	4.098549	0.03230962	0.0183525
1	1	-13.06386	-15.02069	1.956832	0.1557614	0.1090725
2	2	-12.4254	-15.5106	3.085202	0.1091027	0.04289409
3	3	-12.8926	-16.14375	3.251151	0.0638427	0.07155918
4	0	-14.15413	-17.84082	3.686693	0.03254158	0.0593061
5	1	-12.55441	-15.61032	3.055906	0.09539995	0.05952645
6	2	-12.73936	-15.44256	2.7032	0.08982731	0.1003697
7	3	-12.6328	-15.71718	3.084376	0.08599504	0.06608438
8	0	-12.66803	-15.89246	3.224423	0.08080242	0.05727228
9	1	-12.41983	-15.51189	3.092063	0.1094001	0.04191063
10	2	-12.69888	-15.55489	2.856007	0.08621518	0.08870109
11	3	-14.4914	-16.10886	1.617457	0.2338082	0.06496316
12	0	-13.7308	-17.40741	3.676603	0.0427382	0.05011851
13	1	-12.56159	-15.22052	2.658929	0.1522555	0.04236867
14	2	-13.21562	-15.23071	2.015091	0.09131042	0.1676975
15	3	-12.54536	-15.22897	2.683606	0.1282127	0.06394375
16	0	-13.6158	-15.3302	1.714393	0.2116794	0.07739833
17	1	-12.37525	-15.44751	3.07226	0.1349666	0.0183244
18	2	-13.25153	-15.50166	2.250134	0.1887966	0.046707
19	3	-12.48287	-15.25456	2.771688	0.1454969	0.03785127
20	0	-12.8675	-15.0537	2.186204	0.150275	0.09162162
21	1	-12.5334	-15.17423	2.640825	0.1410255	0.05540906
22	2	-12.86491	-15.20869	2.343778	0.1103348	0.1158044
23	3	-12.46592	-15.58066	3.114746	0.1028751	0.04616733
24	0	-12.33238	-15.4186	3.086217	0.1261396	0.02575568
25	1	-15.09715	-15.0178	-0.07934986	0.254076	0.214376
26	2	-13.58506	-14.9933	1.40824	0.1608904	0.1588027
27	3	-13.22744	-15.52993	2.302494	0.1866911	0.04357653
28	0	-12.45713	-15.49225	3.035123	0.1411869	0.01581788
29	1	-13.73657	-15.005	1.268439	0.139692	0.1939812
30	2	-14.19356	-15.61776	1.424195	0.2341619	0.08393559
31	3	-12.86238	-15.39768	2.5353	0.08133466	0.1256523
32	0	-12.89779	-16.65023	3.752448	0.07339306	0.01187916
33	1	-12.83826	-16.185	3.346742	0.06906835	0.0567745
34	2	-12.67936	-15.60766	2.928302	0.08554024	0.08214657
35	3	-12.41447	-15.3642	2.949729	0.1208117	0.04473238
36	0	-12.33834	-15.50166	3.163316	0.1299339	0.01425144
37	1	-12.89452	-16.52446	3.629935	0.07155893	0.02596455
38	2	-12.81515	-15.62827	2.813121	0.07194363	0.1072613
39	3	-12.38694	-15.73305	3.346106	0.1026927	0.02321376
40	0	-12.3228	-15.44466	3.12186	0.1248412	0.02348982
41	1	-12.58318	-15.14719	2.564011	0.142151	0.06196495
42	2	-13.58396	-15.06815	1.48419	0.2105043	0.1015937
43	3	-12.67334	-15.29324	2.619896	0.1603432	0.03818422
44	0	-12.61385	-15.75214	3.138283	0.08673613	0.05995262
45	1	-13.42951	-14.97072	1.541213	0.1942651	0.1121307
46	2	-13.08006	-15.14023	2.060172	0.1069299	0.1475699
47	3	-12.69757	-15.10979	2.412219	0.1425398	0.07675529
48	0	-12.58528	-15.46129	2.876012	0.1010967	0.07181922
49	1	-12.44458	-15.78146	3.33688	0.09792129	0.02890768
50	2	-14.45	-15.25429	0.8042956	0.2525716	0.1275159
51	3	-13.31595	-16.08652	2.770563	0.1714137	0.01204698
52	0	-14.34578	-14.97571	0.6299274	0.2299519	0.1675724
53	1	-12.4562	-15.25881	2.802604	0.1306484	0.04960825
54	2	-13.61553	-14.96776	1.352235	0.1834261	0.1418675
55	3	-12.50377	-15.63449	3.130725	0.09812136	0.04932315
56	0	-13.94867	-15.67482	1.726154	0.2202074	0.06769422
57	1	-12.39916	-15.91901	3.51985	0.09808056	0.01045149
58	2	-13.24349	-14.99076	1.747262	0.166374	0.1194169
59	3	-12.41427	-15.93784	3.523569	0.09695879	0.01120131
60	0	-12.82402	-15.95493	3.130916	0.0676837	0.07974168
61	1	-12.31569	-15.48752	3.171827	0.1204133	0.02292106
62	2	-14.7371	-14.98995	0.2528548	0.21721	0.2180215
63	3	-12.49465	-15.46918	2.974526	0.1446046	0.01845984
64	0	-12.43435	-15.2578	2.823442	0.137492	0.04068085
65	1	-12.72167	-16.16762	3.445942	0.07771004	0.03821282
66	2	-13.9941	-15.02293	1.028833	0.2273742	0.1302595
67	3	-12.32884	-15.43164	3.102799	0.1243947	0.02584245
68	0	-13.30199	-15.38093	2.078933	0.08056886	0.1720548
69	1	-12.70901	-16.1291	3.420098	0.07826951	0.04023773
70	2	-12.76966	-15.19839	2.428733	0.1194976	0.0981461
71	3	-12.42782	-15.62859	3.200769	0.1034219	0.03701825
72	0	-12.77443	-15.74427	2.969832	0.07320642	0.09032742
73	1	-13.9773	-14.97194	0.994639	0.19364	0.1674131
74	2	-13.69024	-14.96338	1.273142	0.1891139	0.144089
75	3	-14.24858	-17.9783	3.729716	0.0326392	0.0549062
76	0	-12.7683	-15.44385	2.675552	0.163133	0.02982877
77	1	-13.96626	-14.96537	0.9991116	0.2169943	0.1436116
78	2	-12.98301	-15.11219	2.129175	0.1267532	0.1208463
79	3	-12.32231	-15.49106	3.168746	0.1188639	0.02477854
80	0	-12.97421	-15.14958	2.175366	0.1155562	0.1274242
81	1	-15.29889	-15.09779	-0.2011054	0.2839829	0.1966447
82	2	-16.18529	-15.22099	-0.9643049	0.3257647	0.2311828
83	3	-13.2978	-15.08027	1.782476	0.1963547	0.08591468
84	0	-15.10141	-15.83964	0.7382243	0.1277775	0.2589171
85	1	-13.26047	-15.14328	1.882816	0.1024859	0.1697495
86	2	-15.88989	-15.58791	-0.3019719	0.1865549	0.3041593
