Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-36.38975	-42.0654	5.675648	0.01748076	0.1835922	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.00699231	0.01332521	0.0174808	0.01748076	0.4
1	1	-34.92752	-40.73283	5.805306	0.01870928	0.1521299	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.00748371	0.02559309	0.0187093	0.01870928	0.4
2	0	-30.55918	-36.06304	5.503858	0.03837729	0.1016639	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.00239295	0.006486694	0.0383773	0.03837729	0.06235329
3	1	-31.88434	-36.11574	4.231405	0.0652856	0.0843205	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.0145432	0.01464994	0.0652856	0.0652856	0.2227623
4	0	-34.05141	-37.99906	3.947655	0.07403985	0.06247357	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.0435685	0.02048764	0.0740398	0.07403985	0.5884469
5	1	-31.70412	-36.55766	4.853538	0.03892956	0.131595	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.0115724	0.03878763	0.0389296	0.03892956	0.2972645
6	0	-36.31388	-36.82938	0.5155055	0.1220885	0.1590762	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.0749669	0.02349236	0.122089	0.1220885	0.6140368
7	1	-30.85108	-35.25525	4.404164	0.04021684	0.1589768	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.00313693	0.04981676	0.0402168	0.04021684	0.07800047
8	0	-32.43464	-35.97538	3.540738	0.04567536	0.2152621	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.00722687	0.05219924	0.0456754	0.04567536	0.1582225
9	1	-31.32503	-35.20811	3.883076	0.04380481	0.07047439	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.000902546	0.1722369	0.0438048	0.04380481	0.02060382
