Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-28.52206	-30.1442	1.622136	0.09534127	0.2029621
1	1	-58.31306	-59.59598	1.282927	0.03719225	0.2950321
2	2	-21.44329	-25.9044	4.461105	0.005116587	0.009289912
3	3	-22.34495	-25.12017	2.775225	0.077763	0.1052315
4	4	-26.7235	-27.00335	0.2798547	0.22003	0.2125015
5	0	-27.81315	-28.97942	1.16627	0.2303764	0.1135137
6	1	-20.96343	-24.3608	3.397372	0.04498902	0.07579076
7	2	-22.44223	-26.85855	4.416324	0.0165833	0.002301354
8	3	-21.50997	-24.68638	3.176415	0.07949508	0.06338042
9	4	-25.23815	-26.44652	1.208363	0.172277	0.1674038
10	0	-23.39418	-25.66509	2.270909	0.1328577	0.1005684
11	1	-19.52511	-23.59162	4.066503	0.01927854	0.03458815
12	2	-21.17634	-25.34332	4.166981	0.04148746	0.002331443
13	3	-21.53067	-24.88905	3.358372	0.03642616	0.08825361
14	4	-21.80592	-24.8311	3.025183	0.08052036	0.0774784
15	0	-20.28663	-24.07506	3.788421	0.0495542	0.03212072
16	1	-20.44023	-24.19554	3.75531	0.0552838	0.02970223
17	2	-21.05745	-25.02467	3.967224	0.06075263	0.003041941
18	3	-23.72513	-26.85734	3.132206	0.1240641	0.02323236
19	4	-21.52869	-24.67644	3.147756	0.07262714	0.07311427
20	0	-20.33143	-24.54786	4.216429	0.02823822	0.01063592
21	1	-20.33454	-24.2112	3.876658	0.05021425	0.02263701
22	2	-21.46086	-25.28429	3.823435	0.07661287	0.001560634
23	3	-20.87864	-24.48748	3.608839	0.0727552	0.02687797
24	4	-20.94631	-24.37538	3.429067	0.04074942	0.07686086
25	0	-21.64311	-24.81574	3.172622	0.05091235	0.09234247
26	1	-20.55703	-24.14284	3.585814	0.05209794	0.04983769
27	2	-21.057	-25.20788	4.150878	0.0418382	0.00359104
28	3	-19.6404	-23.68809	4.047696	0.01353	0.04221738
29	4	-19.65645	-23.67777	4.02131	0.02709041	0.03129556
30	0	-20.43797	-24.04536	3.607388	0.04222196	0.05755629
31	1	-19.92864	-24.1446	4.215963	0.02345375	0.01546701
32	2	-21.01587	-24.88488	3.869008	0.06698644	0.006629738
33	3	-19.53215	-23.63871	4.106557	0.02109269	0.02876859
34	4	-19.84851	-23.72948	3.88097	0.02268145	0.04973854
35	0	-20.12518	-23.86672	3.741539	0.03433734	0.05202577
36	1	-19.58289	-23.6689	4.086009	0.02367411	0.02824202
37	2	-20.30005	-24.44601	4.145959	0.03393813	0.01198303
38	3	-20.58006	-24.46319	3.883132	0.0561891	0.0160147
39	4	-21.10395	-24.49517	3.391217	0.07449568	0.04689965
40	0	-19.71404	-23.67163	3.957591	0.0190257	0.04573221
41	1	-20.385	-24.45145	4.066457	0.04113414	0.0127372
42	2	-20.90197	-24.83834	3.93637	0.05988023	0.006999797
43	3	-19.542	-23.6041	4.062106	0.02127187	0.03303456
44	4	-21.69118	-25.11687	3.425683	0.09574334	0.02220543
45	0	-19.57855	-23.70434	4.125794	0.01108498	0.03685262
46	1	-19.9018	-24.05545	4.153652	0.02776463	0.01738718
47	2	-21.04031	-25.20741	4.167103	0.03987774	0.003929001
48	3	-20.91841	-24.50686	3.588456	0.02619681	0.07547457
49	4	-20.52935	-24.44941	3.920054	0.05308755	0.01542402
50	0	-22.4276	-26.28766	3.860061	0.00387822	0.07063272
51	1	-21.19097	-24.81434	3.623374	0.08155385	0.01662581
52	2	-20.37561	-24.20718	3.83157	0.05248718	0.0248728
53	3	-20.84939	-24.45649	3.607101	0.0714476	0.02835929
54	4	-21.32315	-24.71467	3.391513	0.08851135	0.0328544
55	0	-20.22658	-24.265	4.038421	0.006707539	0.04996742
56	1	-20.79489	-24.86229	4.067395	0.04683445	0.006943102
57	2	-20.57833	-24.25886	3.680532	0.06012538	0.03233841
58	3	-20.13653	-23.94048	3.803948	0.04339156	0.03673061
59	4	-20.37453	-24.03918	3.664646	0.04737452	0.04667794
60	0	-19.81996	-23.97491	4.154945	0.006809132	0.03821343
61	1	-21.38101	-25.60489	4.223881	0.03688486	0.001244101
62	2	-20.53799	-24.37027	3.83228	0.05724827	0.02004075
63	3	-21.36269	-24.8495	3.486809	0.08864743	0.02318865
64	4	-19.96632	-23.80084	3.834524	0.0353827	0.04168192
65	0	-19.71018	-23.88511	4.174932	0.007591338	0.03543247
66	1	-21.36552	-25.58141	4.215888	0.0378072	0.001121063
67	2	-21.5156	-24.88789	3.372294	0.03553451	0.0877531
68	3	-20.09498	-24.09241	3.997426	0.04003653	0.02073788
69	4	-21.9219	-24.91137	2.989462	0.0921465	0.06942432
70	0	-19.70552	-23.72563	4.020104	0.02906404	0.02944257
71	1	-21.10848	-25.05216	3.943679	0.06377619	0.002372907
72	2	-21.35172	-24.6707	3.31898	0.08746297	0.04115601
73	3	-21.04666	-24.44543	3.398764	0.06984622	0.05079445
74	4	-20.46823	-24.29902	3.8308	0.05528597	0.02215109
75	0	-20.6542	-24.16702	3.512828	0.04468017	0.06455408
76	1	-20.80123	-24.66875	3.867519	0.06233509	0.01142999
77	2	-20.96168	-24.62084	3.659163	0.07510776	0.01949295
78	3	-20.42577	-24.30029	3.874521	0.05270882	0.02035613
79	4	-19.61453	-23.7832	4.168671	0.02118305	0.02246686
80	0	-20.35536	-24.15825	3.802895	0.05216583	0.02806169
81	1	-20.03251	-24.0368	4.004298	0.03837924	0.02170795
82	2	-20.68117	-24.51838	3.837203	0.06096218	0.01583458
83	3	-20.58087	-24.25032	3.669448	0.05995983	0.03361243
84	4	-20.51683	-24.73498	4.218154	0.02989385	0.00880781
85	0	-20.24818	-24.41164	4.163457	0.03188561	0.01228575
86	1	-21.36833	-24.78156	3.413231	0.08992728	0.02926666
87	2	-22.11595	-25.34418	3.228225	0.1071481	0.03054643
