Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-156.7171	-158.6635	1.946363	0.01952156	0.5001931	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.00780863	0.05812822	0.0195216	0.01952156	0.4
1	1	-104.5279	-111.9956	7.467723	0.00552084	0.04355508	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.00220834	0.04595373	0.00552084	0.00552084	0.4
2	0	-92.87126	-98.28137	5.410105	0.01952156	0.1007082	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.00051529	0.111239	0.0195216	0.01952156	0.02639592
3	1	-91.55167	-97.61489	6.063222	0.02101568	0.06096068	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.00537889	0.07678266	0.0210157	0.02101568	0.2559466
4	0	-88.03094	-91.07583	3.044889	0.07507104	0.05776451	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.0502976	0.06010871	0.075071	0.07507104	0.6699996
5	1	-87.86114	-93.12095	5.259802	0.04330575	0.03483289	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.00372117	0.05059596	0.0433058	0.04330575	0.08592774
6	0	-87.42073	-90.76172	3.340991	0.076475	0.03280565	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.0467214	0.04710191	0.076475	0.076475	0.6109367
7	1	-87.4134	-92.71823	5.304837	0.04330575	0.03429658	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.0076781	0.04662884	0.0433058	0.04330575	0.1772998
8	0	-87.33651	-90.70736	3.370842	0.076475	0.0180298	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.0514056	0.05889263	0.076475	0.076475	0.6721877
9	1	-86.68431	-92.08951	5.405203	0.04574997	0.01357275	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.0157035	0.04276959	0.04575	0.04574997	0.343246
10	0	-86.80053	-91.49264	4.692113	0.05683436	0.01202334	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0295168	0.0496607	0.0568344	0.05683436	0.5193472
11	1	-86.63781	-92.08598	5.448164	0.04574997	0.01683918	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.0262247	0.03520706	0.04575	0.04574997	0.5732183
12	0	-87.77431	-91.40244	3.628129	0.069499	0.0292448	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.0371206	0.06346569	0.069499	0.069499	0.5341164
13	1	-88.21876	-92.81512	4.596359	0.05594463	0.04673546	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.0149376	0.02981913	0.0559446	0.05594463	0.2670064
14	0	-92.34267	-94.94699	2.604321	0.069499	0.08482825	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.0195323	0.110263	0.069499	0.069499	0.2810448
15	1	-91.62816	-93.71157	2.083412	0.0825454	0.1067541	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.0812154	0.06278415	0.0825454	0.0825454	0.9838881
16	0	-90.73118	-91.52702	0.795836	0.1103298	0.08629331	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.04664721	0.11033	0.1103298	0.6855279
17	1	-88.56842	-92.18383	3.615409	0.06499396	0.09130337	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0294903	0.064994	0.06499396	0.754416
