Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-32.24904	-32.89166	0.6426217	0.226402	0.1698529
1	1	-26.21268	-28.55611	2.34343	0.05812623	0.1680478
2	0	-23.55009	-26.42822	2.878126	0.07204221	0.1006622
3	1	-15.28535	-19.22438	3.93903	0.01564863	0.05096539
4	0	-13.13849	-17.24773	4.109235	0.01478877	0.03480474
5	1	-10.05181	-14.37397	4.322161	0.005253132	0.02304778
6	0	-9.4844	-13.89978	4.415378	0.005460708	0.01351849
7	1	-10.4395	-14.8166	4.377102	0.009612999	0.01319382
8	0	-9.07298	-13.51344	4.440461	0.003695855	0.0127751
9	1	-13.34407	-17.46788	4.123807	0.0210825	0.02705383
10	0	-9.127876	-13.54873	4.420849	0.003907945	0.01452416
11	1	-11.32254	-15.62414	4.301605	0.01363824	0.01671827
12	0	-9.698929	-14.0703	4.371369	0.005902098	0.01747802
13	1	-13.02532	-17.25688	4.231561	0.02316632	0.01419461
14	0	-10.48983	-14.77912	4.289288	0.0058509	0.02573733
15	1	-13.34112	-17.43418	4.093056	0.01483218	0.03637926
16	0	-11.61626	-15.82683	4.210568	0.004793559	0.03466666
17	1	-9.497215	-13.88435	4.387134	0.005203476	0.0166001
18	0	-14.22111	-18.31917	4.098063	0.02859041	0.02212031
19	1	-12.94645	-17.12704	4.180586	0.02105874	0.02139972
20	0	-10.48552	-14.94944	4.463922	0.007007134	0.007117715
21	1	-11.28501	-15.81953	4.534514	0.003578137	0.003487433
22	0	-11.49596	-15.75348	4.257522	0.01329061	0.02147418
23	1	-9.332047	-13.76919	4.437148	0.004698365	0.01210387
24	0	-11.76527	-16.17635	4.411085	0.01392293	0.005485587
25	1	-9.760232	-14.22096	4.460727	0.005395606	0.009048676
26	0	-10.74396	-15.24095	4.496992	0.005583675	0.005234183
27	1	-9.177892	-13.69811	4.52022	0.001496351	0.006998695
28	0	-9.045022	-13.47309	4.428069	0.003583799	0.01412635
29	1	-11.25666	-15.69348	4.436823	0.01044044	0.006394259
30	0	-9.403354	-13.76567	4.362311	0.003031063	0.02125483
31	1	-10.31608	-14.84076	4.524679	0.003067942	0.004981163
32	0	-8.503455	-12.95753	4.45407	0.001335723	0.01377432
33	1	-9.446115	-13.89374	4.447625	0.004892058	0.01086249
34	0	-8.746699	-13.19632	4.44962	0.002360065	0.01319491
35	1	-11.64683	-15.95589	4.309063	0.01539667	0.014214
36	0	-8.938524	-13.32211	4.383586	0.000633508	0.02152494
37	1	-13.31757	-17.56235	4.244781	0.03148856	0.004550385
38	0	-8.564863	-12.98289	4.418031	0.0005553565	0.01815855
39	1	-14.48082	-18.61463	4.133812	0.04130654	0.005829266
40	0	-8.483873	-12.98912	4.505252	0.0005531322	0.009438722
41	1	-12.73554	-16.98363	4.248089	0.02134118	0.01436692
42	0	-8.801519	-13.26996	4.468444	0.002385343	0.01128728
43	1	-9.678396	-14.01039	4.331994	0.001252026	0.02606558
44	0	-8.994988	-13.44699	4.452007	0.003296525	0.01201984
45	1	-12.91457	-17.05076	4.136186	0.001889435	0.04500895
46	0	-10.51226	-14.93344	4.421183	0.008905039	0.009493693
47	1	-9.34866	-13.81572	4.467059	0.004074153	0.009736937
48	0	-11.72433	-15.94922	4.224884	0.01281386	0.02521475
49	1	-9.067403	-13.45807	4.390667	0.002539185	0.01891116
50	0	-9.531958	-13.92253	4.39057	0.005477319	0.01598272
51	1	-10.38004	-14.67194	4.291897	0.004384089	0.0269432
52	0	-9.896908	-14.23136	4.334454	0.005030714	0.02204089
53	1	-9.09531	-13.48551	4.390204	0.002722012	0.01877457
54	0	-9.831138	-14.24495	4.413814	0.006834072	0.01230157
55	1	-9.439675	-13.78627	4.346591	0.0006720743	0.02518582
56	0	-12.01005	-16.40034	4.390289	0.01730809	0.004180019
57	1	-8.589817	-13.08789	4.498074	0.001052868	0.009656791
58	0	-11.52273	-15.97161	4.44888	0.01462738	0.00100164
59	1	-9.958373	-14.48783	4.529461	0.002252873	0.005318029
60	0	-11.60612	-16.04602	4.439901	0.01501089	0.001516045
61	1	-9.10894	-13.6101	4.501161	0.002228094	0.008172861
62	0	-13.63448	-17.85237	4.217889	0.03787623	0.0008518793
63	1	-10.75176	-15.25049	4.498726	0.005481874	0.005162566
64	0	-13.1454	-17.40732	4.261919	0.03384624	0.0004789157
65	1	-9.557705	-13.97901	4.421308	0.005717818	0.0126684
66	0	-11.38233	-15.86583	4.483501	0.01159232	0.0005746031
67	1	-12.42498	-16.58956	4.164579	0.002681794	0.04137735
68	0	-11.38384	-15.86786	4.484018	0.01152779	0.0005874692
69	1	-9.446996	-13.85482	4.407823	0.005283151	0.01445157
70	0	-11.88647	-16.27976	4.393291	0.0201312	0.001056689
71	1	-9.963324	-14.36001	4.396688	0.007516977	0.01333126
72	0	-11.48589	-15.95935	4.473462	0.01182871	0.001342119
73	1	-9.792503	-14.22168	4.42918	0.006426831	0.01117218
74	0	-11.6096	-16.10054	4.490938	0.008406379	0.003016854
75	1	-12.77642	-16.90916	4.132746	0.01191277	0.03532964
76	0	-11.68286	-16.11912	4.436256	0.01449205	0.002399383
77	1	-8.888744	-13.30323	4.414488	0.002523998	0.01654427
78	0	-11.48092	-15.94291	4.461991	0.01323178	0.001086155
79	1	-9.467276	-13.86105	4.393773	0.005198602	0.01594111
80	0	-11.62665	-16.06707	4.44043	0.01464574	0.001828297
81	1	-11.88207	-16.11014	4.228078	0.01469778	0.02301148
82	0	-11.95574	-16.48548	4.529732	0.005473765	0.002070058
83	1	-9.20901	-13.604	4.394988	0.003747782	0.01727039
84	0	-11.74605	-16.16293	4.416888	0.01718176	0.001646427
85	1	-11.40941	-15.70778	4.298369	0.01407742	0.01660269
86	0	-11.85031	-16.26314	4.412826	0.01569096	0.003543424
87	1	-13.64627	-17.80604	4.159764	0.02610802	0.01843261
88	0	-12.31726	-16.58338	4.266127	0.01888687	0.01501744
89	1	-12.13635	-16.32268	4.18633	0.01283918	0.02904483
90	0	-11.40116	-15.64637	4.245207	0.01140217	0.02459416
91	1	-9.949874	-14.35421	4.404331	0.00739876	0.01268513
92	0	-11.43116	-15.68152	4.250364	0.01221502	0.02326556
93	1	-8.818811	-13.22405	4.405243	0.001617058	0.01837569
94	0	-12.13461	-16.50816	4.373553	0.0194205	0.003741193
95	1	-9.114205	-13.50534	4.391139	0.002920549	0.01848259
96	0	-13.03764	-17.30798	4.270347	0.02526063	0.008221647
97	1	-8.592206	-13.07615	4.48394	0.001415736	0.01070725
98	0	-15.66391	-19.60726	3.943348	0.03389144	0.03229081
99	1	-9.298741	-13.65638	4.35764	0.0009738388	0.02377916
100	0	-12.767	-16.91218	4.145179	0.01589605	0.03010307
101	1	-8.619363	-13.10681	4.487446	0.001419644	0.01035278
102	0	-9.791864	-14.1525	4.36064	0.006067027	0.01838602
103	1	-9.170418	-13.65974	4.489323	0.002842031	0.008742667
104	0	-10.73738	-15.15869	4.421308	0.009574663	0.008811572
105	1	-8.92014	-13.36308	4.442939	0.003077936	0.01314514
106	0	-11.7831	-16.04416	4.261054	0.01552748	0.0188841
107	1	-9.379721	-13.76677	4.387053	0.004503494	0.01730827
108	0	-10.39642	-14.70317	4.306751	0.007223731	0.02261815
109	1	-9.186311	-13.60427	4.417956	0.004154305	0.0145671
110	0	-12.38176	-16.58904	4.207274	0.01772924	0.02206034
111	1	-10.56597	-14.86204	4.296076	0.007859819	0.02304962
112	0	-10.44493	-14.73866	4.293732	0.006018106	0.02512572
113	1	-9.872122	-14.19908	4.326962	0.003645248	0.02417552
114	0	-12.29339	-16.46066	4.167272	0.005537025	0.03825284
115	1	-9.564279	-13.91994	4.355662	0.003924882	0.02102593
116	0	-12.07605	-16.25609	4.180048	0.006857126	0.03565513
117	1	-10.47818	-14.78306	4.304875	0.007854401	0.02217511
118	0	-14.80672	-18.78423	3.977513	0.01932005	0.04344571
119	1	-11.76016	-16.00744	4.247276	0.01482418	0.02096522
120	0	-13.01956	-17.13562	4.11606	0.008572187	0.04033879
121	1	-9.753709	-14.12224	4.368535	0.006139576	0.01752396
122	0	-11.41929	-15.66245	4.243165	0.01137729	0.02482318
123	1	-10.64138	-15.01215	4.370762	0.01050124	0.01293953
124	0	-13.50803	-17.73124	4.223208	0.02907564	0.009120532
125	1	-13.16472	-17.42403	4.259307	0.02683683	0.007749498
126	0	-13.21287	-17.46755	4.25468	0.03283718	0.002211835
127	1	-14.56561	-18.69832	4.132718	0.04436283	0.0028824
128	0	-13.49349	-17.72133	4.227834	0.03452521	0.003208382
129	1	-14.36395	-18.51114	4.147188	0.04155514	0.004243074
130	0	-12.38852	-16.7319	4.343374	0.02062823	0.005551363
131	1	-12.18171	-16.50603	4.324319	0.01804142	0.01004371
132	0	-12.79178	-17.08923	4.297454	0.02742885	0.003342749
133	1	-12.76021	-17.06309	4.302879	0.02418136	0.006047812
134	0	-13.43995	-17.58869	4.14874	0.02376226	0.0218808
135	1	-13.66119	-17.85998	4.198789	0.02852921	0.01210891
136	0	-15.95894	-19.87687	3.917936	0.03582779	0.03289566
137	1	-14.93501	-18.91249	3.977482	0.02513579	0.03763303
138	0	-11.86885	-16.17273	4.303886	0.01652749	0.01360097
139	1	-12.28844	-16.60608	4.317644	0.01873807	0.01001452
140	0	-12.79331	-17.08668	4.293375	0.02303953	0.008140012
141	1	-13.10049	-17.36781	4.267318	0.0281194	0.005665836
142	0	-12.81414	-17.1115	4.297357	0.02526953	0.005511783
143	1	-13.02506	-17.29788	4.27282	0.03084109	0.002393974
144	0	-10.09362	-14.43208	4.338463	0.007069378	0.01960132
145	1	-11.95602	-16.35199	4.39597	0.01768816	0.003231887
146	0	-10.0974	-14.51975	4.42235	0.007582758	0.01069931
147	1	-11.53639	-16.04522	4.508823	0.008584295	0.001050434
148	0	-9.678167	-14.03267	4.354502	0.004845173	0.02022168
149	1	-11.94689	-16.34559	4.398707	0.01691572	0.003730586
150	0	-9.698182	-14.09616	4.397974	0.0063766	0.01434299
151	1	-12.69991	-16.97271	4.2728	0.02139252	0.01184454
152	0	-9.167822	-13.54737	4.379549	0.002503163	0.02005891
153	1	-11.45564	-15.72176	4.266112	0.01343082	0.02047496
154	0	-9.262167	-13.64501	4.382844	0.0035078	0.01872479
155	1	-10.19407	-14.52298	4.328909	0.00725516	0.02037096
156	0	-10.72631	-14.99295	4.266641	0.001901743	0.03195114
157	1	-9.950723	-14.29207	4.341351	0.00613652	0.02024542
158	0	-8.42565	-12.86528	4.439634	0.0006789214	0.01587465
159	1	-8.469938	-12.90987	4.43993	0.0009349295	0.01558911
160	0	-9.577212	-13.92286	4.345651	0.002794369	0.02315758
161	1	-10.76238	-15.04292	4.280544	0.008228898	0.02423375
162	0	-9.467891	-13.93985	4.471955	0.004228056	0.009093462
163	1	-9.42245	-13.85528	4.432827	0.005082422	0.01215188
