Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-99.50215	-108.0189	8.516769	0.1761856	0.07203481	0.03881675	0.0007620311	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.114815	0.0109127	0.0388167	0.176186	0.0720348	0.2870371	0.4
1	1	-120.5808	-125.4997	4.91888	0.05433568	0.1941894	0.2041989	0.1170121	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.18109	0.06538204	0.204199	0.0543357	0.194189	0.4527239	0.4
2	0	-86.54423	-96.53126	9.987026	0.005804526	0.03670438	0.1040431	0.001455093	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.0167773	0.02350521	0.104043	0.00580453	0.0367044	0.146552	0.1144801
3	1	-98.81108	-105.7302	6.91908	0.009472196	0.00915341	0.2041989	0.06866782	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.0635596	0.1760506	0.204199	0.0094722	0.00915341	0.2228245	0.285245
4	0	-81.29688	-91.15094	9.854063	0.01577933	0.002900469	0.1451641	0.001373642	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.0185326	0.01715081	0.145164	0.0157793	0.00290047	0.1638439	0.1131113
5	1	-91.65217	-99.98575	8.333581	0.003487735	0.01108206	0.2041989	0.05742606	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0865734	0.0504704	0.204199	0.00348773	0.0110821	0.2187687	0.3957302
6	0	-80.44325	-90.57364	10.13039	0.0001624189	0.002466917	0.1451641	0.002802916	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.0157736	0.006404777	0.145164	0.000162419	0.00246692	0.1477934	0.106727
7	1	-86.30644	-95.65121	9.344774	0.01506412	0.01572335	0.1610849	0.01213489	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.0568912	0.02533441	0.161085	0.0150641	0.0157233	0.1918724	0.2965052
8	0	-82.68719	-92.0062	9.319008	0.009287597	0.01195564	0.1926232	0.002199128	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.0788882	0.01274868	0.192623	0.0092876	0.0119556	0.2138665	0.3688667
9	1	-82.12281	-91.26038	9.137563	0.003839202	0.005025856	0.2166663	0.006102741	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.0949342	0.01367844	0.216666	0.0038392	0.00502586	0.2255314	0.4209359
10	0	-82.49501	-91.3298	8.834794	0.01050803	0.002911116	0.2483512	0.002533163	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.155031	0.006171683	0.248351	0.010508	0.00291112	0.2617704	0.5922407
11	1	-86.28944	-96.02663	9.737197	0.01719717	0.01080057	0.1279184	0.008078634	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.0276529	0.03117899	0.127918	0.0171972	0.0108006	0.1559161	0.1773575
12	0	-80.85005	-90.63237	9.78232	0.008674284	0.002272904	0.1612152	0.003259517	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.0456251	0.01294672	0.161215	0.00867428	0.0022729	0.1721623	0.265012
13	1	-82.55878	-91.95832	9.399547	0.002031804	0.01267786	0.1850273	0.004564987	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.0498318	0.01845242	0.185027	0.0020318	0.0126779	0.199737	0.2494871
14	0	-80.88525	-90.45017	9.564921	0.01739935	0.0001294968	0.1788059	0.003451554	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.006910831	0.178806	0.0173994	0.000129497	0.1963348	0.3390549
15	1	-82.05309	-91.5366	9.483511	0.002450686	0.0004438046	0.1850273	0.01462869	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.01347491	0.185027	0.00245069	0.000443805	0.1879218	0.1022744
