Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-108.9235	-109.5819	0.6583685	0.2095486	0.3730259	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.0838194	0.02599295	0.209549	0.2095486	0.4
1	1	-132.5089	-134.0686	1.559748	0.05933438	0.3337809	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.0237338	0.1465133	0.0593344	0.05933438	0.4
2	0	-98.3494	-101.6525	3.303147	0.2095486	0.1047787	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.0237219	0.02976235	0.209549	0.2095486	0.1132048
3	1	-106.1984	-109.9798	3.781354	0.09889403	0.1414126	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.00526557	0.07157851	0.098894	0.09889403	0.05324453
4	0	-87.10451	-91.54752	4.443012	0.2095486	0.01270897	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.0530474	0.00784555	0.209549	0.2095486	0.2531509
5	1	-85.17665	-90.53559	5.358944	0.1352152	0.006062368	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.00207725	0.007722666	0.135215	0.1352152	0.01536252
6	0	-85.81981	-90.81294	4.993128	0.1511905	0.004986333	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.0214336	0.02715058	0.15119	0.1511905	0.1417658
7	1	-83.42928	-88.4957	5.066418	0.1596861	0.002353716	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.013654	0.01275958	0.159686	0.1596861	0.08550557
8	0	-86.33329	-91.28254	4.949249	0.1511905	0.01145693	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.0135132	0.02506784	0.15119	0.1511905	0.08937831
9	1	-89.79646	-92.91808	3.12162	0.3104254	0.008967339	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.202545	0.02861314	0.310425	0.3104254	0.652474
