Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-9.106958	-13.34808	4.241119	0.03270028	0.003704786
1	1	-6.078448	-10.47252	4.394072	0.01999256	0.001117249
2	0	-5.284879	-9.712928	4.42805	0.009477954	0.008234091
3	1	-2.797492	-7.325339	4.527847	0.006637651	0.001094691
4	0	-6.641554	-11.01023	4.368678	0.02184346	0.00180577
5	1	-2.937311	-7.456926	4.519615	0.00794035	0.0006152092
6	0	-2.305586	-6.857923	4.552337	0.004522429	0.0007608774
7	1	-1.982319	-6.551873	4.569554	0.003302382	0.0002592239
8	0	-2.365221	-6.912719	4.547498	0.005118234	0.0006490005
9	1	-2.076962	-6.637913	4.560951	0.004183193	0.0002387196
10	0	-2.185326	-6.739812	4.554486	0.004789336	0.0002790703
11	1	-2.268736	-6.817499	4.548763	0.005495408	0.0001452701
12	0	-2.413205	-6.987041	4.573836	0.001791201	0.001342264
13	1	-2.187417	-6.766495	4.579078	0.00184243	0.0007668063
14	0	-3.105009	-7.619446	4.514437	0.007693681	0.001379639
15	1	-2.610611	-7.157334	4.546723	0.00397672	0.001868004
16	0	-5.050667	-9.482788	4.432122	0.01506045	0.002244404
17	1	-4.75727	-9.202104	4.444834	0.01124372	0.004789846
18	0	-5.225172	-9.657612	4.432439	0.008956172	0.008316938
19	1	-4.530118	-8.985582	4.455464	0.01043467	0.004535955
20	0	-5.820328	-10.24204	4.421712	0.006739845	0.01160596
21	1	-5.047641	-9.504106	4.456465	0.005734747	0.009135813
22	0	-6.583896	-10.96815	4.384257	0.007930718	0.01416058
23	1	-4.631857	-9.098646	4.46679	0.006400395	0.007437666
24	0	-5.146639	-9.603817	4.457178	0.005170071	0.009629146
25	1	-2.611635	-7.173472	4.561837	0.002293173	0.002040132
26	0	-4.294576	-8.81009	4.515513	0.002166949	0.006798741
27	1	-3.096713	-7.667933	4.571219	0.001001644	0.002393435
28	0	-3.622517	-8.134639	4.512122	0.004527035	0.004777755
29	1	-2.413779	-6.977871	4.564092	0.002579318	0.001528534
30	0	-2.785733	-7.339957	4.554224	0.002535965	0.002558677
31	1	-2.744099	-7.311643	4.567544	0.001628654	0.002133916
32	0	-2.587517	-7.146629	4.559112	0.002595477	0.002010329
33	1	-2.938577	-7.466705	4.528129	0.005463236	0.002240903
34	0	-2.717967	-7.275103	4.557136	0.002444696	0.002358693
35	1	-2.860627	-7.405564	4.544937	0.003265631	0.002757686
36	0	-2.93527	-7.460107	4.524837	0.006234387	0.001798921
37	1	-2.876737	-7.403441	4.526704	0.006241075	0.001605566
38	0	-3.680182	-8.187828	4.507647	0.004920085	0.004832275
39	1	-3.11267	-7.627866	4.515196	0.007326189	0.001671266
40	0	-3.506856	-8.030507	4.523651	0.003514739	0.004637192
41	1	-4.217321	-8.684454	4.467133	0.01257929	0.001224392
42	0	-3.038041	-7.558502	4.520461	0.006500269	0.001970622
43	1	-4.866899	-9.305744	4.438845	0.01328679	0.00334578
44	0	-5.000941	-9.46421	4.463268	0.005029028	0.009161145
45	1	-8.645174	-12.88927	4.244099	0.02656053	0.009546579
46	0	-5.810051	-10.20888	4.398832	0.01753231	0.003101549
47	1	-6.054764	-10.43748	4.382712	0.01513466	0.007111157
48	0	-5.374673	-9.79027	4.415598	0.01388886	0.005068403
49	1	-3.118702	-7.644394	4.525692	0.004868084	0.003079704
50	0	-4.388645	-8.877335	4.488691	0.004390022	0.007257913
51	1	-2.408555	-6.955658	4.547103	0.004930941	0.0008757323
52	0	-3.106785	-7.635622	4.528838	0.004423274	0.003209984
53	1	-2.006415	-6.579462	4.573046	0.002806034	0.0004063676
54	0	-3.163544	-7.674751	4.511206	0.008200833	0.001195539
55	1	-2.079883	-6.643975	4.564092	0.003677488	0.00043035
56	0	-4.301799	-8.765137	4.463338	0.01206116	0.002122064
57	1	-2.072004	-6.634366	4.562361	0.003974757	0.0003061491
58	0	-4.571864	-9.027541	4.455677	0.009612418	0.005336919
59	1	-2.225928	-6.800929	4.575001	0.002071746	0.0009451619
60	0	-5.011898	-9.465902	4.454003	0.006297985	0.008818702
61	1	-4.327692	-8.799491	4.471798	0.007570695	0.005766476
62	0	-4.310325	-8.773319	4.462994	0.01186067	0.002356907
63	1	-6.062896	-10.4463	4.383405	0.0137777	0.008398851
64	0	-5.590082	-10.00181	4.411732	0.01059923	0.00874457
65	1	-4.387638	-8.865729	4.478091	0.005913168	0.006794757
66	0	-3.323716	-7.843708	4.519992	0.004753582	0.00376421
67	1	-2.784848	-7.32991	4.545062	0.00351346	0.002497345
68	0	-4.255085	-8.720591	4.465505	0.01257744	0.001389051
69	1	-4.275827	-8.745127	4.4693	0.008797611	0.004789423
70	0	-5.423506	-9.83696	4.413455	0.01457153	0.004600026
71	1	-5.756508	-10.15713	4.400623	0.01714442	0.003310289
72	0	-5.655062	-10.0651	4.410043	0.01818531	0.001327455
73	1	-2.006617	-6.582545	4.575928	0.002507649	0.0004165464
74	0	-5.575369	-9.981486	4.406117	0.01420815	0.005697135
75	1	-2.64999	-7.191531	4.541541	0.004613608	0.001749322
76	0	-5.503124	-9.913564	4.41044	0.01549777	0.003975298
77	1	-4.876547	-9.31563	4.439083	0.0141826	0.002426074
78	0	-4.0692	-8.545627	4.476427	0.009024035	0.003850273
79	1	-4.474026	-8.930046	4.456021	0.01252029	0.002394662
80	0	-5.97035	-10.36572	4.395373	0.0107191	0.01026062
81	1	-4.934804	-9.374163	4.439359	0.01034466	0.006236466
82	0	-5.86959	-10.27589	4.406303	0.00911034	0.01077634
83	1	-6.812547	-11.16139	4.348843	0.02021051	0.00542223
84	0	-7.097651	-11.42786	4.33021	0.01532506	0.01217094
85	1	-7.298766	-11.63143	4.332662	0.02352501	0.003725781
86	0	-3.929656	-8.434812	4.505156	0.004166072	0.005835333
87	1	-4.150631	-8.620323	4.469692	0.01163123	0.001916608
88	0	-2.604908	-7.152674	4.547765	0.003851167	0.001889327
89	1	-2.759367	-7.290227	4.53086	0.006141859	0.001289156
90	0	-2.027719	-6.596128	4.568409	0.003287201	0.0003889405
91	1	-2.155027	-6.721301	4.566274	0.003112439	0.0007771355
92	0	-2.122843	-6.683938	4.561095	0.003944806	0.0004627434
93	1	-3.451664	-7.954338	4.502674	0.007614988	0.002634643
94	0	-2.705537	-7.273414	4.567876	0.001671563	0.00205781
95	1	-7.399248	-11.71821	4.318962	0.02238127	0.006239558
