Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-58.81	-70.84794	12.03794	0.0193684	0.03185045	0.03110311	0.00261473	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.0329288	0.03256112	0.0311031	0.0193684	0.0318504	0.08232195	0.4
1	1	-82.40033	-93.31794	10.91761	0.02132276	0.01085804	0.01068992	0.03143313	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.0171483	0.2535775	0.0106899	0.0213228	0.010858	0.04287073	0.4
2	0	-52.92074	-64.77939	11.85865	0.005920985	0.01672727	0.06746302	0.00493375	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.021268	0.02096356	0.067463	0.00592099	0.0167273	0.09011128	0.2360191
3	1	-63.19176	-72.51035	9.318587	0.007913188	0.07898043	0.01617931	0.0396053	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.0114451	0.1950239	0.0161793	0.00791319	0.0789804	0.1030729	0.1110389
4	0	-51.28893	-62.92985	11.64092	0.001037927	0.01159637	0.08226715	0.005216565	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.00265792	0.02572225	0.0822671	0.00103793	0.0115964	0.09490145	0.02800712
5	1	-60.84416	-70.91362	10.06946	0.01815922	0.07898043	0.0171018	0.04791786	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.0213578	0.07261246	0.0171018	0.0181592	0.0789804	0.1142415	0.1869532
6	0	-52.53528	-63.71627	11.18098	0.0003503159	0.005056702	0.09960712	0.002205072	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.0229218	0.039404	0.0996071	0.000350316	0.0050567	0.1050141	0.2182736
7	1	-58.64404	-69.95011	11.30607	0.01781675	0.008845859	0.05571885	0.03034908	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.016855	0.07780658	0.0557189	0.0178167	0.00884586	0.08238146	0.2045975
8	0	-52.11702	-64.84557	12.72856	0.001082067	0.006869886	0.05733606	0.002040551	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.00513485	0.02357273	0.0573361	0.00108207	0.00686989	0.06528801	0.07864919
9	1	-55.13522	-66.95397	11.81875	0.04872401	0.006543568	0.03451821	0.01827454	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.00764603	0.0127499	0.0345182	0.048724	0.00654357	0.08978579	0.08515853
10	0	-53.59179	-65.90874	12.31695	0.00623266	0.0121082	0.05733606	0.0003494776	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.0124303	0.03013683	0.0573361	0.00623266	0.0121082	0.07567691	0.1642553
11	1	-57.27922	-68.62297	11.34375	0.08280457	0.00578152	0.01580493	0.01787664	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.0261607	0.009631668	0.0158049	0.0828046	0.00578152	0.104391	0.2506026
12	0	-52.57924	-64.98473	12.40549	0.007244772	0.009380358	0.05733606	0.001570479	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.00650063	0.02605441	0.0573361	0.00724477	0.00938036	0.07396119	0.08789248
13	1	-54.13663	-65.97906	11.84243	0.02367365	0.01078063	0.0519865	0.01791269	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.00297241	0.02242777	0.0519865	0.0236737	0.0107806	0.08644078	0.03438664
14	0	-47.17453	-59.23941	12.06488	0.002407267	0.009549957	0.0775396	0.0009007318	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.006519757	0.0775396	0.00240727	0.00954996	0.08949683	0.07513145
15	1	-56.29417	-68.34993	12.05576	0.02367365	0.02006609	0.03585077	0.01832865	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.02460668	0.0358508	0.0236737	0.0200661	0.07959051	0.1776665
16	0	-49.09306	-60.74774	11.65468	0.004875185	0.0166833	0.08003503	0.0006956938	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.005491212	0.080035	0.00487518	0.0166833	0.1015935	0.1388515
