Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-88.66573	-94.94532	6.279588	0.0154946	0.1162007	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.00619784	0.01756892	0.0154946	0.0154946	0.4
1	1	-112.4809	-117.4956	5.01472	0.002170733	0.2094085	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.000868293	0.09738764	0.00217073	0.002170733	0.4
2	0	-66.4627	-69.41314	2.950438	0.1002465	0.1247602	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.00224768	0.04588954	0.100247	0.1002465	0.02242154
3	1	-70.82544	-73.30265	2.47721	0.07205839	0.141591	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.00169217	0.1748416	0.0720584	0.07205839	0.0234833
4	0	-68.99763	-71.24282	2.245193	0.09763352	0.1064228	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.0153304	0.1438786	0.0976335	0.09763352	0.1570199
5	1	-74.69758	-75.89841	1.200828	0.07205839	0.1710452	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.00804056	0.2730256	0.0720584	0.07205839	0.1115839
6	0	-61.17547	-65.1979	4.022433	0.09763352	0.03514245	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.0083892	0.03743492	0.0976335	0.09763352	0.08592536
7	1	-60.57921	-64.43465	3.855444	0.1055494	0.03338201	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.00961159	0.02824448	0.105549	0.1055494	0.09106246
8	0	-54.45879	-59.03529	4.576503	0.09763352	0.01514219	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.0275232	0.002028173	0.0976335	0.09763352	0.2819034
9	1	-56.43529	-60.6511	4.215805	0.1055494	0.02379797	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.0299424	0.00179234	0.105549	0.1055494	0.2836809
10	0	-51.96889	-56.61251	4.643618	0.09763352	0.009835766	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.002531	0.0006231346	0.0976335	0.09763352	0.02592346
