Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-23.77706	-36.76572	12.98866	0.04280331	0.001709321	0.003828977	0.08211421	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.0193366	0.01222331	0.00382898	0.0428033	0.00170932	0.0483416	0.4
1	1	-28.29212	-35.49384	7.201721	0.06676426	0.02069558	0.003845801	0.235402	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.0365223	0.2198006	0.0038458	0.0667643	0.0206956	0.09130564	0.4
2	0	-23.3392	-35.21663	11.87743	0.0547215	0.005433315	0.002072065	0.07131372	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0070741	0.0637473	0.00207206	0.0547215	0.00543331	0.06222688	0.1136823
3	1	-28.6842	-38.46162	9.777417	0.06024887	0.02069558	0.009846217	0.100591	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.0799396	0.09965288	0.00984622	0.0602489	0.0206956	0.09079067	0.8804823
4	0	-26.18248	-38.64795	12.46547	0.004104249	0.02563494	0.02952695	0.05028587	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.0428824	0.040983	0.029527	0.00410425	0.0256349	0.05926614	0.7235572
5	1	-27.27764	-35.95716	8.679514	0.04767129	0.003727175	0.003963348	0.3530489	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.000722719	0.1366102	0.00396335	0.0476713	0.00372717	0.05536181	0.01305446
6	0	-26.4505	-35.80774	9.357246	0.02381788	0.0603381	0.01460973	0.05027063	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.0437114	0.1515568	0.0146097	0.0238179	0.0603381	0.09876571	0.4425766
7	1	-24.14687	-36.22432	12.07745	0.01494676	0.01646634	0.0155101	0.0327986	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.00958553	0.1598509	0.0155101	0.0149468	0.0164663	0.0469232	0.2042813
8	0	-25.65493	-35.39577	9.74084	0.01874203	0.0603381	0.001304151	0.06801151	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.0189935	0.1886506	0.00130415	0.018742	0.0603381	0.08038429	0.2362841
9	1	-25.14251	-35.11071	9.968204	0.03216901	0.007907915	0.009660278	0.1665415	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.0112824	0.2227655	0.00966028	0.032169	0.00790791	0.04973721	0.2268398
10	0	-24.70426	-37.27467	12.57041	0.01995401	0.009757334	0.01352371	0.0372583	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.0176162	0.1247942	0.0135237	0.019954	0.00975733	0.04323505	0.4074524
11	1	-22.72469	-35.13673	12.41204	0.01370307	0.02522429	0.009363881	0.07344889	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.00762762	0.07880516	0.00936388	0.0137031	0.0252243	0.04829124	0.1579503
12	0	-29.4941	-38.13805	8.643941	0.06493556	0.001481508	0.02982466	0.1210034	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.0806853	0.1649511	0.0298247	0.0649356	0.00148151	0.09624173	0.8383609
13	1	-25.30536	-36.42793	11.12258	0.01512147	0.01604676	0.03685518	0.04847358	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.1326845	0.0368552	0.0151215	0.0160468	0.06802341	0.5546013
