Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-81.26887	-92.50382	11.23495	0.03528694	0.01175598	0.01455433	0.1046981	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.0246389	0.09159813	0.0145543	0.0352869	0.011756	0.06159725	0.4
1	1	-78.45084	-90.10609	11.65525	0.003223542	0.03704839	0.04033567	0.01219938	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.032243	0.02892895	0.0403357	0.00322354	0.0370484	0.08060761	0.4
2	0	-81.15277	-91.32658	10.17381	0.00476841	0.01565481	0.05966026	0.1107208	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.0673067	0.08167085	0.0596603	0.00476841	0.0156548	0.08008349	0.8404561
3	1	-75.82361	-87.93947	12.11585	0.005902831	0.027425	0.04172071	0.005870408	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.0636393	0.02228144	0.0417207	0.00590283	0.027425	0.07504854	0.8479748
4	0	-79.50545	-92.13497	12.62952	0.02197595	0.01565481	0.01211532	0.1092015	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.0168876	0.01816773	0.0121153	0.021976	0.0156548	0.04974609	0.3394768
5	1	-75.69598	-88.69141	12.99543	0.001405943	0.03395796	0.02204923	0.01415626	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.0222351	0.03099277	0.0220492	0.00140594	0.033958	0.05741314	0.387283
6	0	-75.20247	-87.20773	12.00526	0.02977473	0.01565481	0.03304068	0.01434947	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.0546755	0.004498334	0.0330407	0.0297747	0.0156548	0.07847023	0.696768
7	1	-76.08724	-89.06572	12.97847	0.01365355	0.03395796	0.01131891	0.02915453	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.0488593	0.00866038	0.0113189	0.0136535	0.033958	0.05893042	0.8291014
8	0	-74.93907	-87.38557	12.4465	0.01238898	0.02863164	0.02821262	0.02365046	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.04656	0.006046097	0.0282126	0.012389	0.0286316	0.06923324	0.67251
9	1	-76.91727	-88.69373	11.77646	0.0133835	0.03395796	0.03059011	0.04282694	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.040369	0.002106165	0.0305901	0.0133835	0.033958	0.07793157	0.5180057
10	0	-75.90835	-87.01173	11.10339	0.02188689	0.03469022	0.03585039	0.01521476	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.0729406	0.01075524	0.0358504	0.0218869	0.0346902	0.0924275	0.7891661
11	1	-75.9527	-87.39799	11.44528	0.02604059	0.02290275	0.03837785	0.01897806	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.0568376	0.003191915	0.0383779	0.0260406	0.0229028	0.08732119	0.6509027
12	0	-75.03411	-89.20907	14.17496	0.01132037	0.01396838	0.0142866	0.006344094	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.00448571	0.02701116	0.0142866	0.0113204	0.0139684	0.03957535	0.113346
13	1	-74.66666	-88.04478	13.37812	0.02878976	0.008495635	0.01868698	0.01411407	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.0291059	0.001340797	0.018687	0.0287898	0.00849563	0.05597238	0.5200047
