Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-94.02884	-108.6189	14.59008	0.004156347	0.01551081	0.007777916	0.0397282	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.010978	0.06850062	0.00777792	0.00415635	0.0155108	0.02744508	0.4
1	1	-152.6906	-168.1591	15.46849	0.00173163	0.001459996	0.005463877	0.2467602	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0034622	0.0004958165	0.00546388	0.00173163	0.00146	0.008655504	0.4
2	0	-95.59509	-103.9539	8.358838	0.01513005	0.009495387	0.04538793	0.09077414	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.0504984	0.126601	0.0453879	0.0151301	0.00949539	0.07001338	0.7212673
3	1	-96.33692	-111.6108	15.27383	0.01005374	0.0127821	0.001141187	0.08144455	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.00672743	0.0002827631	0.00114119	0.0100537	0.0127821	0.02397703	0.2805783
4	0	-93.85876	-106.0576	12.19886	0.008389274	0.02818369	0.002473547	0.09359899	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.0202143	0.1136736	0.00247355	0.00838927	0.0281837	0.03904651	0.5176985
5	1	-95.72753	-107.6958	11.9683	0.02281444	0.007505039	0.02201737	0.06980181	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	0.0275509	5.706944e-05	0.0220174	0.0228144	0.00750504	0.05233686	0.5264151
6	0	-96.63676	-107.7039	11.06716	0.03166224	0.001933888	0.002747688	0.1973105	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.011086	0.1557651	0.00274769	0.0316622	0.00193389	0.03634381	0.305031
7	1	-96.36809	-102.9917	6.623604	0.05952904	0.0145021	0.02081663	0.09100981	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	0.0809713	3.367707e-05	0.0208166	0.059529	0.0145021	0.09484776	0.8536979
8	0	-94.49966	-106.4869	11.98727	0.02896467	0.008407439	0.003552326	0.1485882	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.0213561	0.05716882	0.00355233	0.0289647	0.00840744	0.04092443	0.5218422
9	1	-97.17102	-104.4697	7.298722	0.05990115	0.008956486	0.02542637	0.03031268	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	0.0770587	2.58909e-05	0.0254264	0.0599011	0.00895649	0.094284	0.817304
10	0	-94.31297	-104.4217	10.10876	0.01663228	0.01504891	0.02540662	0.1027182	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.09573036	0.0254066	0.0166323	0.0150489	0.05708782	0.7345102
11	1	-96.75158	-103.8972	7.145646	0.04089401	0.04536404	0.008998422	0.03386357	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	4.080138e-05	0.00899842	0.040894	0.045364	0.09525647	0.8751069
12	0	-94.84034	-107.7552	12.9149	0.004104256	0.02618196	0.005137744	0.1140748	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.06533333	0.00513774	0.00410426	0.026182	0.03542396	0.6471365
