Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-53.5513	-66.22412	12.67282	0.004073881	0.004410658	0.0007077098	0.008190598	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.0036769	0.1828041	0.00070771	0.00407388	0.00441066	0.009192249	0.4
1	1	-45.00713	-52.75363	7.746501	0.01855607	0.0007765236	0.1729833	0.1113827	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.0769264	0.01273366	0.172983	0.0185561	0.000776524	0.1923159	0.4
2	0	-38.64959	-49.42578	10.77619	0.0124567	0.006947846	0.04368702	0.002283088	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.0155435	0.2136926	0.043687	0.0124567	0.00694785	0.06309157	0.2463645
3	1	-35.35867	-45.73531	10.37664	0.01666529	0.01370044	0.09621986	0.037427	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.0603995	0.02450554	0.0962199	0.0166653	0.0137004	0.1265856	0.4771432
4	0	-35.31606	-46.0902	10.77413	0.003093003	0.05697235	0.03199329	0.01327226	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.00297373	0.114404	0.0319933	0.003093	0.0569724	0.09205864	0.03230252
5	1	-37.111	-47.3439	10.2329	0.03931425	0.007407561	0.05650357	0.06335731	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.00748353	0.08432383	0.0565036	0.0393143	0.00740756	0.1032254	0.07249698
6	0	-33.41161	-44.89541	11.4838	0.02555183	0.002755576	0.06808259	0.008317829	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.0273109	0.03515787	0.0680826	0.0255518	0.00275558	0.09639	0.2833375
7	1	-34.91598	-46.50266	11.58668	0.02417552	0.01356246	0.03020113	0.0201089	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.0127877	0.1000066	0.0302011	0.0241755	0.0135625	0.06793912	0.1882233
8	0	-34.58633	-45.56663	10.9803	0.03380569	0.01380976	0.04899478	0.06786893	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.0196672	0.02528421	0.0489948	0.0338057	0.0138098	0.09661023	0.203573
9	1	-34.61482	-45.73572	11.12091	0.04831671	0.0213909	0.01103791	0.04294222	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.00226779	0.08462236	0.0110379	0.0483167	0.0213909	0.08074552	0.0280857
