Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-59.64238	-70.66433	11.02195	0.06060771	0.003344358	0.02736472	0.02442161	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.0365267	0.018827	0.0273647	0.0606077	0.00334436	0.09131679	0.4
1	1	-65.07452	-77.15819	12.08367	0.002521132	0.03389001	0.0271083	0.0973194	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.0254078	0.003462539	0.0271083	0.00252113	0.03389	0.06351944	0.4
2	0	-57.09174	-69.64074	12.549	0.0111454	0.027792	0.02736472	0.02078074	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.00400826	0.01708107	0.0273647	0.0111454	0.027792	0.06630212	0.06045445
3	1	-57.67387	-70.05898	12.38511	0.01651166	0.03389001	0.02103177	0.02047081	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.00196222	0.003560037	0.0210318	0.0165117	0.03389	0.07143344	0.0274692
4	0	-56.65679	-67.1542	10.49741	0.001502067	0.03285851	0.07007346	0.008676017	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.0573514	0.009776271	0.0700735	0.00150207	0.0328585	0.104434	0.5491642
5	1	-55.25225	-68.70035	13.4481	0.00249288	0.002662532	0.04358373	0.049459	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.00180223	0.001924739	0.0435837	0.00249288	0.00266253	0.04873914	0.03697703
6	0	-52.52738	-63.82766	11.30029	0.001955304	0.004959369	0.08427731	0.009808784	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.02178	0.006341398	0.0842773	0.0019553	0.00495937	0.09119198	0.2388364
7	1	-54.09178	-66.28826	12.19648	0.01738652	0.000601687	0.05676216	0.01937287	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.0156407	0.00398674	0.0567622	0.0173865	0.000601687	0.07475037	0.2092387
8	0	-51.01341	-62.56812	11.55471	0.004286808	0.001272776	0.08214549	0.005986481	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.01732	0.005256546	0.0821455	0.00428681	0.00127278	0.08770508	0.1974797
9	1	-51.12665	-63.8945	12.76785	0.008114613	0.001952789	0.05676216	0.01070843	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.00453269	0.002161766	0.0567622	0.00811461	0.00195279	0.06682956	0.06782461
