Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-37.39769	-50.7664	13.3687	0.004973117	0.008489889	0.01988733	0.07137348	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0133401	0.0916603	0.0198873	0.00497312	0.00848989	0.03335033	0.4
1	1	-39.23056	-51.9494	12.71884	0.0137855	0.03265743	0.007768301	0.07830871	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.0216845	0.007237345	0.0077683	0.0137855	0.0326574	0.05421122	0.4
2	0	-34.51816	-48.47362	13.95546	0.006178022	0.01073581	0.01921876	0.0476917	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.00397735	0.03766415	0.0192188	0.00617802	0.0107358	0.03613259	0.1100765
3	1	-38.35719	-51.08435	12.72716	0.01361301	0.03469306	0.009466223	0.04660606	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.0368459	0.01378688	0.00946622	0.013613	0.0346931	0.05777229	0.6377788
4	0	-33.71048	-47.8107	14.10022	0.001611025	0.01810879	0.01921876	0.02089757	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.00932088	0.03081803	0.0192188	0.00161103	0.0181088	0.03893858	0.2393739
5	1	-35.94266	-49.05197	13.1093	0.01535608	0.007149948	0.0292236	0.01399356	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.0226226	0.049455	0.0292236	0.0153561	0.00714995	0.05172963	0.4373235
6	0	-34.03365	-47.13879	13.10514	0.001150117	0.005677966	0.04830308	0.003839325	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.0278216	0.03679416	0.0483031	0.00115012	0.00567797	0.05513116	0.5046439
7	1	-34.88895	-48.81566	13.92671	0.01644782	0.01671297	0.01136607	0.01609059	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.0211523	0.01480993	0.0113661	0.0164478	0.016713	0.04452686	0.4750452
8	0	-32.15375	-47.2799	15.12615	0.00315346	0.006614397	0.0201049	0.001967054	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0166596	0.0090731	0.0201049	0.00315346	0.0066144	0.02987276	0.5576868
9	1	-35.02643	-49.25919	14.23276	0.02045349	0.009106007	0.01076504	0.01862138	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.0216828	0.01037508	0.010765	0.0204535	0.00910601	0.04032453	0.5377064
