Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-41.73542	-46.10897	4.373546	0.006043724	0.0171187
1	1	-28.88971	-32.26512	3.375412	0.03171051	0.09126534
2	0	-25.58049	-29.85702	4.276533	0.03135276	0.001510967
3	1	-28.61843	-31.03472	2.41629	0.07785984	0.1410282
4	0	-25.59749	-29.92497	4.327476	0.02642293	0.001346506
5	1	-27.37551	-29.71034	2.334829	0.09540846	0.1316256
6	0	-25.45143	-29.58684	4.135413	0.04541654	0.001559155
7	1	-27.59698	-29.90898	2.312003	0.1525241	0.0767926
8	0	-25.9204	-29.65005	3.729643	0.06024437	0.02730831
9	1	-28.15034	-29.75642	1.606078	0.1759564	0.1239529
10	0	49.70434	45.75896	3.945374	0.04237213	0.0236075
11	1	-27.6131	-29.55111	1.938006	0.1266813	0.1400351
12	0	126.2676	122.6153	3.652231	0.03089539	0.0643985
13	1	-26.87186	-29.95317	3.081305	0.06551671	0.08686985
14	0	812.0114	808.3164	3.694992	0.03845061	0.0525672
15	1	-27.26446	-30.51815	3.253691	0.04832014	0.0868278
16	0	1603.089	1599.323	3.765835	0.04445831	0.03947525
17	1	-26.82717	-29.95059	3.123428	0.1041262	0.04404799
18	0	3064.871	3061.389	3.481973	0.06176043	0.05055933
19	1	-28.82111	-31.22749	2.406375	0.1592465	0.06063306
20	0	3064.871	3061.389	3.481973	0.06176043	0.05055933
21	1	-26.98413	-30.3376	3.353469	0.07669913	0.04847097
22	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
23	1	-26.90592	-29.54436	2.638442	0.1159809	0.08069187
24	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
25	1	-27.27214	-29.51928	2.247144	0.1081236	0.127679
26	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
27	1	-27.58565	-29.59613	2.010478	0.1545463	0.1049229
28	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
29	1	-27.0202	-29.52552	2.50532	0.09834723	0.1116378
30	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
31	1	-26.95648	-30.24884	3.292354	0.06721998	0.06406162
32	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
33	1	-27.8762	-30.55789	2.681694	0.1403735	0.05197409
34	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
35	1	-27.07252	-30.40921	3.336698	0.0947197	0.03212754
36	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
37	1	-26.94495	-29.60747	2.662516	0.08519945	0.109066
38	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
39	1	-27.0782	-29.52676	2.448553	0.1148741	0.1007876
40	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
41	1	-27.68566	-30.57891	2.893247	0.1287966	0.04239573
42	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
43	1	-27.19578	-30.60967	3.413891	0.08957423	0.02955365
44	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
45	1	-27.7149	-31.26687	3.551973	0.08470238	0.02061735
46	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
47	1	-27.26997	-30.19953	2.929556	0.1232288	0.04433264
48	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
49	1	-27.13531	-29.53281	2.397495	0.09937049	0.121397
50	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
51	1	-27.00618	-30.22731	3.221124	0.05597018	0.08243442
52	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
53	1	-28.87153	-32.662	3.79047	0.0270253	0.05444473
54	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
55	1	-29.27412	-33.06158	3.787465	0.02083254	0.060938
56	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
57	1	-27.21748	-30.4838	3.266322	0.04883541	0.08504943
58	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
59	1	-27.07331	-30.27435	3.201036	0.05376761	0.08664576
60	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
61	1	-27.09051	-30.06744	2.976933	0.06210968	0.1007141
62	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
63	1	-28.46128	-29.82498	1.363702	0.1487983	0.1753485
64	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
65	1	-27.17615	-29.6548	2.478648	0.1390697	0.07358259
66	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
67	1	-26.81565	-29.6004	2.78475	0.1070569	0.07498513
68	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
69	1	-26.79903	-29.71659	2.917555	0.08755207	0.08120944
70	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
71	1	-26.83029	-29.95147	3.121178	0.07464431	0.07375493
72	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
73	1	-26.92334	-29.76056	2.837221	0.07363979	0.1031551
74	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
75	1	-26.86831	-29.6643	2.795996	0.1209004	0.06001706
76	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
77	1	-27.0756	-29.51345	2.437852	0.1033126	0.1134193
78	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
79	1	50.46017	50.94097	-0.4807986	0.2581722	0.2504246
80	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
81	1	238.4558	241.0353	-2.57948	0.3135691	0.4048959
82	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
83	1	1351.386	1372.455	-21.06983	0.3135691	2.25393
84	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
85	1	2769.066	2812.334	-43.26712	0.6509054	4.136324
86	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
87	1	2769.066	2812.334	-43.26712	0.6509054	4.136324
88	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
89	1	2810.508	2854.13	-43.62211	0.6864041	4.136324
90	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
91	1	2810.508	2854.13	-43.62211	0.6864041	4.136324
92	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
93	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
94	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
95	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
96	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
97	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
98	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
99	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
100	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
101	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
102	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
103	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
104	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
105	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
106	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
107	1	2826.12	2869.879	-43.75896	0.7000888	4.136324
108	0	3093.503	3090.169	3.334365	0.06176043	0.06532004
