Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-140.5198	-148.4276	7.907879	0.0007441708	0.1069303	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.000297668	0.03317904	0.000744171	0.0007441708	0.4
1	1	-116.8006	-123.4898	6.689216	0.009054862	0.04807875	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.00362194	0.1135521	0.00905486	0.009054862	0.4
2	0	-105.5303	-111.4442	5.913953	0.01729038	0.04588581	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.000807942	0.09383412	0.0172904	0.01729038	0.04672784
3	1	-106.2655	-111.0073	4.741821	0.02248889	0.1228769	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.0125437	0.07128833	0.0224889	0.02248889	0.5577733
4	0	-103.6129	-106.2922	2.679385	0.04441103	0.04801063	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.0256126	0.08770637	0.044411	0.04441103	0.576718
5	1	-103.9374	-109.4168	5.47944	0.02248889	0.07050477	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.00433467	0.04989867	0.0224889	0.02248889	0.1927472
6	0	-103.0626	-106.3953	3.332692	0.03709939	0.07932808	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.016689	0.07934019	0.0370994	0.03709939	0.4498463
7	1	-103.7388	-109.0946	5.355853	0.02248889	0.0649497	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.000519447	0.06781241	0.0224889	0.02248889	0.02309793
8	0	-106.2102	-104.3108	-1.899377	0.06930637	0.1718658	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.0458475	0.1211364	0.0693064	0.06930637	0.6615194
9	1	-104.1093	-106.3175	2.208237	0.03600979	0.1545445	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.0165035	0.1297254	0.0360098	0.03600979	0.4583068
10	0	-104.5327	-103.7134	-0.8193189	0.06540151	0.1197577	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.1123867	0.0654015	0.06540151	0.7771104
