Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-14.36364	-18.6603	4.296656	0.002151341	0.02870009
1	1	-15.49905	-19.66301	4.163964	0.005530371	0.03859022
2	0	-8.200138	-12.58465	4.384511	0.002141566	0.01992432
3	1	-10.73159	-15.18262	4.451031	0.003692623	0.01172131
4	0	-9.578989	-13.92588	4.346888	0.001209367	0.0246189
5	1	-8.79456	-13.28114	4.486576	0.005303247	0.006556146
6	0	-9.152513	-13.30658	4.154064	0.00242537	0.04268529
7	1	-7.784727	-12.29733	4.512598	0.005830449	0.003426736
8	0	-8.349986	-12.31409	3.964103	0.004963259	0.05914346
9	1	-7.280813	-11.82358	4.542765	0.004423321	0.001817212
10	0	-9.91979	-13.81966	3.899874	0.01766145	0.05286815
11	1	-7.702651	-12.23358	4.530929	0.004356726	0.00306741
12	0	-10.12877	-13.47784	3.349071	0.09079968	0.03481022
13	1	-8.351025	-12.81138	4.460352	0.01327934	0.001202489
14	0	-12.93919	-13.19899	0.2598052	0.395741	0.03879549
15	1	-9.641326	-14.04975	4.408428	0.01750969	0.002164557
16	0	-9.20997	-12.54482	3.334855	0.1034557	0.02357582
17	1	-10.61312	-14.99244	4.379321	0.02192968	0.0006551968
18	0	-8.132834	-11.95659	3.823756	0.05875362	0.0193878
19	1	-7.343029	-11.84735	4.504324	0.009765735	0.0003189149
20	0	-8.085233	-12.05004	3.964811	0.01526203	0.04877385
21	1	-8.591219	-13.04236	4.451139	0.01471124	0.0006918456
22	0	-11.39049	-14.43202	3.041531	0.0211852	0.1351788
23	1	-8.865208	-13.30468	4.439475	0.01507348	0.001496017
24	0	-7.575447	-11.7812	4.205757	0.02661852	0.01332284
25	1	-7.623173	-12.19951	4.57634	0.001974217	0.0009087599
26	0	-8.759749	-11.7591	2.999355	0.1147295	0.04585203
27	1	-7.686016	-12.2176	4.531582	0.004344385	0.003014403
28	0	-10.9803	-14.19107	3.210772	0.08336405	0.05607575
29	1	-8.542179	-12.99459	4.452411	0.01373934	0.001536607
30	0	-8.931513	-11.78966	2.858149	0.1061338	0.06856839
31	1	-7.341978	-11.86935	4.527371	0.005730497	0.002049457
32	0	-7.418948	-11.40664	3.987694	0.02336039	0.03838723
33	1	-7.395529	-11.90108	4.505554	0.008887233	0.001074421
34	0	-7.642007	-11.26902	3.627017	0.05145462	0.04636069
35	1	-6.945794	-11.50001	4.554215	0.004306335	0.0007891604
36	0	-7.499207	-11.23979	3.740581	0.01859471	0.06786418
37	1	-6.918319	-11.47844	4.560119	0.003905007	0.0006001182
38	0	-7.888763	-11.35361	3.464849	0.03931819	0.07471397
39	1	-6.806856	-11.35712	4.550263	0.00505513	0.0004356097
40	0	-9.580641	-11.43535	1.85471	0.01891209	0.256134
41	1	-7.872634	-12.39031	4.517681	0.005049775	0.003699154
42	0	-9.821213	-11.24666	1.425452	0.001636836	0.316335
43	1	-6.719609	-11.27486	4.555253	0.004824842	0.0001668639
44	0	-10.82326	-12.84679	2.023531	0.001291689	0.2568723
45	1	-7.382429	-11.88423	4.501798	0.01017453	0.0001626837
46	0	-8.860747	-11.38432	2.523577	0.002599315	0.2055601
47	1	-6.739459	-11.28493	4.545476	0.005822723	0.0001467235
48	0	-8.598074	-11.35345	2.755381	0.002334061	0.1826449
49	1	-6.872288	-11.40384	4.531549	0.007214928	0.0001471936
50	0	-9.55109	-11.33851	1.787416	0.001539729	0.2802357
51	1	-6.882328	-11.41438	4.532047	0.007076147	0.0002361558
52	0	-9.146644	-12.52496	3.378313	0.001522474	0.1211632
53	1	-6.694966	-11.24525	4.550279	0.005421346	6.77364e-05
54	0	-8.820126	-12.64385	3.823722	0.003345199	0.07479964
55	1	-8.18516	-12.65246	4.467298	0.01343653	0.0003507254
56	0	-8.829486	-12.40653	3.577039	0.000834683	0.1019784
57	1	-7.704791	-12.2145	4.509712	0.006464354	0.003081462
58	0	-7.986303	-11.39896	3.412655	0.001259301	0.1179922
59	1	-7.439787	-11.94307	4.503282	0.009066524	0.001122263
60	0	-8.033654	-11.57427	3.540619	0.0009245048	0.1055306
61	1	-7.657651	-12.15344	4.49579	0.009031986	0.001905984
62	0	-7.189379	-11.35665	4.167273	0.0002255723	0.04356413
63	1	-8.015566	-12.50159	4.48602	0.008490507	0.00342451
64	0	-7.60071	-11.58348	3.982773	0.0005805352	0.06165922
65	1	-9.242608	-13.7159	4.473288	0.005259074	0.007929103
66	0	-7.951486	-11.68047	3.728981	0.0003797257	0.08723917
67	1	-8.527727	-13.064	4.536275	0.002575318	0.004314228
68	0	-7.566974	-11.69103	4.12406	0.0005428931	0.04756811
69	1	-7.207825	-11.7396	4.531776	0.005706913	0.001632505
70	0	-7.730135	-11.88558	4.155445	0.00149587	0.04347666
71	1	-7.435027	-11.93749	4.502464	0.009327611	0.0009429917
72	0	-9.69647	-13.16919	3.472723	0.001845399	0.1113993
73	1	-7.339098	-11.85937	4.520272	0.006619259	0.00187055
74	0	-11.19409	-14.78375	3.589658	0.001463332	0.1000879
75	1	-9.472373	-13.88491	4.412533	0.01462981	0.004633949
76	0	-8.506666	-12.98632	4.479656	0.0008090647	0.01174233
77	1	-13.11598	-17.38934	4.273358	0.03146473	0.001716524
78	0	-8.583929	-13.0914	4.507468	0.001329881	0.008440365
79	1	-8.926903	-13.36461	4.437707	0.01564755	0.001098774
80	0	-7.79385	-12.34405	4.5502	0.0008518621	0.004645121
81	1	-8.66133	-13.11056	4.449227	0.01534942	0.0002448562
82	0	-8.693407	-13.24328	4.54987	0.0003846359	0.005145376
83	1	-6.751938	-11.30024	4.548297	0.005445425	0.0002418852
84	0	-9.483062	-13.98218	4.499118	0.0002900188	0.01031519
85	1	-8.585493	-13.03724	4.451746	0.01491887	0.0004234949
86	0	-8.701068	-13.18305	4.481986	0.0001119439	0.01220644
87	1	-7.352415	-11.92235	4.569934	0.002562823	0.0009607591
88	0	-8.009523	-12.54172	4.532198	0.0001685738	0.007128603
89	1	-6.885458	-11.45614	4.570683	0.003251007	0.0001977574
90	0	-7.276473	-11.52122	4.244744	0.000232088	0.0358105
91	1	-7.100082	-11.62357	4.523487	0.007309099	0.0008592633
92	0	-7.597076	-11.75313	4.156055	0.000799126	0.04411238
93	1	-7.148551	-11.6654	4.516844	0.008254859	0.0005777161
94	0	-7.78629	-11.83722	4.050926	0.000619429	0.05480494
95	1	-9.55212	-13.96436	4.412244	0.0173123	0.001980281
96	0	-8.72102	-11.9643	3.243284	0.001153946	0.1350347
97	1	-8.137522	-12.62255	4.485025	0.007950979	0.004063519
98	0	-7.609189	-11.85266	4.243474	0.001237439	0.03493213
99	1	-7.287489	-11.81302	4.525531	0.006149626	0.001814312
100	0	-8.090569	-11.93517	3.844604	0.0009385281	0.07511811
101	1	-7.512451	-12.01078	4.498327	0.009731907	0.0009524212
