Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-116.7396	-124.8603	8.120661	0.1370374	0.02042308	0.01616285	0.02147893	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.0694493	0.1723293	0.0161629	0.137037	0.0204231	0.1736233	0.4
1	1	-166.8477	-171.7259	4.87813	0.01986161	0.2503059	0.2767066	0.007685917	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.21875	0.01433101	0.276707	0.0198616	0.250306	0.5468741	0.4
2	0	-112.8507	-122.1028	9.252112	0.1447574	0.007501426	0.02261137	0.008472972	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.068089	0.07053313	0.0226114	0.144757	0.00750143	0.1748702	0.3893692
3	1	-96.70304	-107.4986	10.79556	0.0002261229	0.001551871	0.09520206	0.02339432	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.00278094	0.004781627	0.0952021	0.000226123	0.00155187	0.09698006	0.02867535
4	0	-109.9979	-119.4538	9.45588	0.1009045	0.001029367	0.07727599	0.02772345	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.0957485	0.02513853	0.077276	0.100904	0.00102937	0.1792098	0.5342816
5	1	-96.2976	-107.0247	10.72714	0.0003658213	0.01431258	0.09520206	0.01531858	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00441231	0.00255502	0.0952021	0.000365821	0.0143126	0.1098805	0.04015554
6	0	-96.21137	-106.3632	10.15182	0.005299414	0.01498811	0.1331044	0.008982078	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.0358844	0.008597918	0.133104	0.00529941	0.0149881	0.1533919	0.2339394
7	1	-91.32134	-102.0838	10.7625	0.003658088	0.001313002	0.1091365	0.007380401	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.00308085	0.001339347	0.109136	0.00365809	0.001313	0.1141076	0.0269995
8	0	-99.48319	-109.441	9.957856	0.001590236	0.01851029	0.1331044	0.02636793	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.044382	0.01085662	0.133104	0.00159024	0.0185103	0.1532049	0.2896904
9	1	-92.68872	-102.8567	10.16796	0.005526866	0.004523334	0.1484417	0.006493909	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.0411829	0.002693993	0.148442	0.00552687	0.00452333	0.1584919	0.2598423
10	0	-97.44201	-107.5624	10.12035	0.004656054	0.00612548	0.1331044	0.02469946	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.034383	0.008660934	0.133104	0.00465605	0.00612548	0.1438859	0.2389599
11	1	-94.15096	-103.8969	9.745903	0.0009992484	0.003542256	0.1872793	0.00387239	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.121235	0.003227403	0.187279	0.000999248	0.00354226	0.1918209	0.6320234
