Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-177.6984	-181.7686	4.070195	0.007981527	0.1314847	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.00319261	0.1701054	0.00798153	0.007981527	0.4
1	1	-156.4409	-160.6291	4.188156	0.02457774	0.1941188	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.0098311	0.07361918	0.0245777	0.02457774	0.4
2	0	-120.7459	-123.3531	2.607164	0.1043094	0.1397829	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.0109648	0.1800921	0.104309	0.1043094	0.1051182
3	1	-113.1527	-116.6351	3.482425	0.1610648	0.1006991	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.024959	0.05622281	0.161065	0.1610648	0.1549624
4	0	-109.4332	-114.2656	4.832412	0.1043094	0.0448426	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.00916841	0.05250759	0.104309	0.1043094	0.08789629
5	1	-104.964	-109.6459	4.681846	0.1416111	0.04508622	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.0332479	0.01774728	0.141611	0.1416111	0.2347828
6	0	-104.4375	-109.3055	4.868096	0.1312131	0.03723995	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.0260039	0.02078743	0.131213	0.1312131	0.198181
7	1	-102.7449	-106.9191	4.174184	0.19937	0.02945779	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.0772082	0.007381213	0.19937	0.19937	0.3872609
8	0	-101.9291	-107.0681	5.139016	0.1312131	0.01328118	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.0414653	0.01765412	0.131213	0.1312131	0.3160147
9	1	-97.32391	-102.3545	5.030555	0.1501615	0.01019693	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.0403346	0.006402339	0.150162	0.1501615	0.2686079
10	0	-98.42031	-103.356	4.935636	0.152988	0.01487212	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.035815	0.007462666	0.152988	0.152988	0.2341032
11	1	-99.20207	-103.977	4.774901	0.1671114	0.01102888	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.0319597	0.00860955	0.167111	0.1671114	0.1912476
12	0	-98.82175	-103.9615	5.139802	0.1363141	0.02148591	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.0151778	0.002591701	0.136314	0.1363141	0.1113443
13	1	-98.29498	-103.1802	4.885262	0.1642342	0.009686767	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.0843451	0.002739447	0.164234	0.1642342	0.5135661
14	0	-97.08088	-102.2875	5.206623	0.1363141	0.01570929	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.0169689	0.001686242	0.136314	0.1363141	0.1244841
15	1	-96.70619	-101.6526	4.946417	0.1642342	0.004915045	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.001395648	0.164234	0.1642342	0.4739673
