Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-11.43925	-15.3557	3.916456	0.03522891	0.03364255
1	1	-12.90098	-17.23855	4.337574	0.002790434	0.02396915
2	0	-11.36142	-15.27328	3.911865	0.05224797	0.01708254
3	1	-11.25959	-15.56618	4.30659	0.01866172	0.01119633
4	0	-12.05227	-15.69576	3.643497	0.04356411	0.05260317
5	1	-11.33123	-15.25844	3.927202	0.05026847	0.01752833
6	0	-11.40832	-15.3143	3.905982	0.04568251	0.02423636
7	1	-10.93391	-15.1683	4.23439	0.0282927	0.00878535
8	0	-11.30899	-15.26501	3.956019	0.04176268	0.02315242
9	1	-11.09738	-15.11406	4.016681	0.04984413	0.00900477
10	0	-11.44148	-15.30226	3.860781	0.06815122	0.006287687
11	1	-11.55652	-15.37297	3.816449	0.07117782	0.007694282
12	0	-12.42831	-15.9061	3.477788	0.1060265	0.006711678
13	1	-12.48682	-15.94163	3.454803	0.1107352	0.004301556
14	0	-14.89493	-17.28601	2.391085	0.08399119	0.1374173
15	1	-12.24812	-15.79972	3.551595	0.07904057	0.02631697
16	0	-13.6767	-16.63266	2.955956	0.06839308	0.09652833
17	1	-13.26166	-16.39921	3.137541	0.1041135	0.04264934
18	0	-11.86891	-15.5957	3.726797	0.0341272	0.05371017
19	1	-12.21658	-15.7922	3.575623	0.0431552	0.05979948
20	0	-11.62334	-15.49262	3.869281	0.008508801	0.06508015
21	1	-12.41852	-15.90178	3.483261	0.08698921	0.02520171
22	0	-14.18781	-18.60954	4.421722	0.00275792	0.01558694
23	1	-11.47635	-15.31974	3.843392	0.07360407	0.002573699
24	0	-12.1255	-15.74606	3.620564	0.01754285	0.08091776
25	1	-11.9492	-15.61591	3.666712	0.07823664	0.01560916
26	0	-11.0746	-15.20444	4.129842	0.02951082	0.018022
27	1	-12.79178	-16.12486	3.333081	0.09183501	0.03537394
28	0	-12.34954	-15.8583	3.508751	0.1006259	0.009015929
29	1	-13.10769	-16.31102	3.203322	0.1181457	0.0220391
30	0	-11.46094	-15.31705	3.856109	0.06583302	0.009073059
31	1	-11.16717	-15.22637	4.059198	0.03217609	0.02242116
32	0	-13.62347	-16.60983	2.986363	0.1461672	0.01571358
33	1	-13.39217	-16.47414	3.081973	0.107994	0.04432572
34	0	-13.13928	-16.32963	3.190344	0.1212469	0.02023575
35	1	-11.05794	-15.13629	4.078352	0.03783041	0.01485138
36	0	-11.62183	-15.41381	3.79198	0.0720041	0.009314883
37	1	-10.89018	-15.1886	4.298419	0.02747856	0.003196535
38	0	-12.7731	-16.11389	3.340784	0.1150643	0.0113743
39	1	-12.08346	-15.6958	3.612339	0.08991292	0.00937019
