Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-45.85941	-50.91667	5.057261	0.05202465	0.007192953	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.0208099	0.130592	0.0520246	0.05202465	0.4
1	1	-60.68942	-65.72358	5.034159	0.0141925	0.2513061	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.005677	0.004380209	0.0141925	0.0141925	0.4
2	0	-39.41581	-44.72803	5.31222	0.07015203	0.01192488	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.00942941	0.04497823	0.070152	0.07015203	0.1344139
3	1	-44.02421	-47.86658	3.842372	0.1141651	0.06486108	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.0784095	0.004550772	0.114165	0.1141651	0.6868078
4	0	-39.08237	-44.38744	5.305073	0.07015203	0.01175563	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.00558303	0.04586225	0.070152	0.07015203	0.07958465
5	1	-41.91088	-45.71715	3.806271	0.1141651	0.06529523	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.0598437	0.007726711	0.114165	0.1141651	0.5241861
6	0	-40.01184	-44.59201	4.580164	0.08391519	0.01873249	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.0149864	0.06932471	0.0839152	0.08391519	0.17859
7	1	-43.98914	-47.4036	3.414453	0.1250537	0.04473798	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.084392	0.03419705	0.125054	0.1250537	0.6748459
8	0	-40.71525	-45.33339	4.618136	0.06348969	0.08076671	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.000229046	0.06590073	0.0634897	0.06348969	0.003607602
9	1	-40.38342	-44.68926	4.305849	0.08923333	0.06919947	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.0121389	0.03004038	0.0892333	0.08923333	0.1360357
