Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-61.81985	-59.73959	-2.080264	0.1595948	0.5089486
1	1	-16.97556	-19.77904	2.803476	0.1387709	0.04139845
2	0	-20.72446	-21.38928	0.6648192	0.2147175	0.1793176
3	1	-13.53759	-16.92088	3.383293	0.09159413	0.03059361
4	0	-16.63199	-19.12825	2.496259	0.1274008	0.08349036
5	1	-11.94682	-15.6628	3.715984	0.07819157	0.01072701
6	0	-20.18711	-21.02725	0.8401339	0.1827204	0.1937832
7	1	-11.22961	-15.03171	3.802098	0.04034239	0.03996487
8	0	-21.34682	-21.50446	0.157639	0.2241211	0.2206321
9	1	-10.94277	-14.78975	3.846977	0.03306382	0.04275546
10	0	-16.23504	-18.89378	2.658741	0.1262089	0.06843402
11	1	-5.721296	-10.08839	4.367094	0.008269034	0.01553855
12	0	-15.68253	-18.45652	2.773996	0.09643705	0.0866804
13	1	-6.012235	-10.37051	4.358277	0.01971252	0.004976815
14	0	-11.70182	-15.4274	3.725575	0.05761734	0.03034218
15	1	-6.540604	-10.85591	4.315308	0.01615087	0.01283534
16	0	-10.89241	-14.74715	3.854736	0.03168619	0.04335718
17	1	-5.755146	-10.11727	4.362125	0.0115071	0.01279741
18	0	-11.87653	-15.57968	3.703155	0.07142789	0.01877368
19	1	-8.851419	-12.98229	4.130872	0.04196357	0.005466217
20	0	-8.163689	-12.36572	4.202032	0.03739907	0.00291474
21	1	-8.038888	-12.25154	4.212654	0.0355579	0.003693733
22	0	-6.279474	-10.61158	4.332104	0.01555905	0.01174757
23	1	-6.302115	-10.63317	4.331057	0.01603521	0.01137614
24	0	-3.839206	-8.296062	4.456855	0.01133546	0.00349604
25	1	-3.406243	-7.878606	4.472363	0.01007834	0.003202372
26	0	-6.159573	-10.51227	4.352696	0.02150198	0.003745438
27	1	-6.257381	-10.60602	4.348635	0.02271168	0.002941813
28	0	-3.71783	-8.177009	4.459179	0.01016658	0.00443252
29	1	-2.009558	-6.524833	4.515275	0.005456403	0.003533119
30	0	-3.733386	-8.197818	4.464432	0.01205285	0.002020938
31	1	-2.924128	-7.415617	4.49149	0.009757174	0.00161087
32	0	-2.164079	-6.675878	4.511799	0.002608866	0.006728228
33	1	-4.055483	-8.500862	4.445379	0.01072782	0.005251326
34	0	-0.9155786	-5.461398	4.545819	0.003040531	0.002894546
35	1	-2.557736	-7.055611	4.497875	0.006166964	0.004562518
36	0	-2.159141	-6.670653	4.511511	0.002926044	0.006439851
37	1	-1.444789	-5.976284	4.531495	0.003277037	0.004090477
38	0	0.6374718	-3.945504	4.582976	0.001467287	0.0007521755
39	1	0.399595	-4.178101	4.577696	0.001610917	0.001136475
40	0	0.8806646	-3.707502	4.588167	0.0009372814	0.000763044
41	1	0.421746	-4.156721	4.578467	0.002247827	0.0004224831
42	0	0.8716171	-3.716396	4.588013	0.0005136887	0.001202032
43	1	0.7378931	-3.847526	4.585419	0.001932071	4.301433e-05
44	0	1.340837	-3.25688	4.597717	0.0003025462	0.0004427664
45	1	1.120575	-3.472698	4.593273	0.001061488	0.0001282405
46	0	1.041307	-3.550249	4.591556	0.0005384042	0.0008230289
47	1	1.032254	-3.559223	4.591477	0.001269172	0.0001001772
48	0	-2.359978	-6.870476	4.510498	0.0006047325	0.008862535
49	1	0.7942745	-3.792062	4.586337	0.0007253749	0.001157954
50	0	-3.534825	-8.001457	4.466632	0.009984156	0.003869635
51	1	-0.4461089	-5.003935	4.557826	0.002024398	0.002709997
52	0	-2.316938	-6.823251	4.506313	0.006500565	0.003385173
53	1	-0.668229	-5.220577	4.552348	0.002032705	0.003249483
54	0	-1.560209	-6.088372	4.528162	0.003755155	0.003945629
55	1	-0.0002284238	-4.568961	4.568733	0.002589124	0.001054595
56	0	-2.154143	-6.668629	4.514485	0.007770674	0.001297833
