Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-104.0924	-112.1981	8.105693	0.0008490084	0.02488088	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.000339603	0.02763811	0.000849008	0.0008490084	0.4
1	1	-93.45924	-94.89548	1.436242	0.04079008	0.1508313	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.33341	0.0407901	0.04079008	0.4
2	0	-64.61031	-68.13716	3.526852	0.07561381	0.04641732	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.00818228	0.02367739	0.0756138	0.07561381	0.1082114
3	1	-72.03095	-74.29884	2.267885	0.05987871	0.1458313	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.01227	0.1428281	0.0598787	0.05987871	0.2049136
4	0	-63.17472	-67.07784	3.903116	0.07561381	0.004150897	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.0421462	0.02831734	0.0756138	0.07561381	0.557387
5	1	-71.77676	-73.55102	1.774256	0.07531	0.097186	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.0184551	0.1499576	0.07531	0.07531	0.2450555
6	0	-62.25373	-66.05167	3.797943	0.07561381	0.01236582	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.0103291	0.03061977	0.0756138	0.07561381	0.1366039
7	1	-69.43578	-71.90147	2.465695	0.07531	0.100418	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.0101002	0.07758165	0.07531	0.07531	0.1341148
8	0	-62.54851	-67.60703	5.058512	0.05230048	0.0302278	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.000986447	0.02399885	0.0523005	0.05230048	0.01886114
9	1	-68.47074	-71.92944	3.458699	0.06202463	0.1140944	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.00990639	0.04284566	0.0620246	0.06202463	0.1597171
10	0	-61.19035	-66.10731	4.916964	0.05699342	0.02146476	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.01927885	0.0569934	0.05699342	0.05347842
11	1	-62.65843	-67.18727	4.528837	0.06202463	0.02053903	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.0149656	0.02938719	0.0620246	0.06202463	0.2412848
12	0	-62.06632	-66.96868	4.902365	0.05567328	0.02753079	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.00111816	0.0224473	0.0556733	0.05567328	0.02008435
13	1	-60.60032	-65.36354	4.763217	0.06058796	0.02536813	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.0039494	0.009581086	0.060588	0.06058796	0.0651845
14	0	-63.56808	-67.60311	4.035032	0.0682618	0.02568341	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.00364516	0.03689115	0.0682618	0.0682618	0.05339976
15	1	-60.97469	-64.64389	3.669206	0.07971233	0.02334765	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.029111	0.008374454	0.0797123	0.07971233	0.3652013
16	0	-59.39135	-64.02135	4.629999	0.06459222	0.01763452	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.0137952	0.007054303	0.0645922	0.06459222	0.2135733
17	1	-59.4352	-59.75436	0.3191693	0.1403514	0.006523434	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.0787585	0.003084053	0.140351	0.1403514	0.5611525
18	0	-57.14895	-59.21186	2.062911	0.1112519	0.004492929	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.0440143	0.00211406	0.111252	0.1112519	0.3956275
19	1	-56.15615	-56.55125	0.3951005	0.1403514	0.001419718	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0838545	0.0005946557	0.140351	0.1403514	0.5974616
20	0	-54.97729	-60.78814	5.810846	0.04774361	0.001435418	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.00453569	0.004394417	0.0477436	0.04774361	0.09500105
21	1	-53.92709	-56.91357	2.986484	0.09631857	0.0009275948	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.040634	0.001268445	0.0963186	0.09631857	0.4218704
22	0	-57.34915	-61.61091	4.261758	0.07297374	0.003011951	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.000138052	0.009140121	0.0729737	0.07297374	0.001891801
23	1	-54.04161	-59.7577	5.716091	0.04966569	0.00309312	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0053304	0.0008926029	0.0496657	0.04966569	0.1073256
24	0	-56.29906	-60.59869	4.299633	0.07265152	0.001168162	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.0222256	0.009094119	0.0726515	0.07265152	0.3059211
25	1	-53.02073	-58.37173	5.350998	0.05597697	0.001978962	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.0032817	0.001347332	0.055977	0.05597697	0.05862597
26	0	-53.66708	-58.03471	4.367634	0.07265152	0.002320428	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.0229933	0.001141749	0.0726515	0.07265152	0.3164873
27	1	-52.90698	-58.25964	5.352665	0.05597697	0.002702378	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.00196734	0.0004572354	0.055977	0.05597697	0.0351455
28	0	-57.36709	-61.58122	4.214125	0.07391177	0.008164099	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.0327132	0.003227001	0.0739118	0.07391177	0.4425975
29	1	-54.03264	-59.30679	5.274147	0.05694797	0.004894575	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.00614849	0.0003983262	0.056948	0.05694797	0.1079667
30	0	-54.77701	-59.27257	4.495561	0.06989576	0.002872949	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.0158954	0.004025917	0.0698958	0.06989576	0.2274154
31	1	-53.89627	-59.35138	5.455111	0.0538537	0.004474665	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.00132731	0.0009448032	0.0538537	0.0538537	0.02464663
32	0	-54.73047	-58.6771	3.946628	0.07956778	0.002332093	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.0342295	0.002499068	0.0795678	0.07956778	0.4301932
33	1	-53.79042	-59.8466	6.056179	0.04433739	0.0009483759	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.00488156	0.0004081473	0.0443374	0.04433739	0.1101003
34	0	-55.02349	-59.37862	4.355128	0.07223409	0.003622749	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.0207209	0.003548358	0.0722341	0.07223409	0.2868577
35	1	-54.05626	-59.79409	5.737825	0.04940755	0.001231395	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.00707772	0.002101156	0.0494075	0.04940755	0.1432517
36	0	-55.61915	-59.2785	3.659354	0.08416881	0.001114551	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.0394909	0.00534741	0.0841688	0.08416881	0.4691872
37	1	-54.53322	-60.24213	5.70891	0.04940755	0.0009271372	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.00140435	0.005296955	0.0494075	0.04940755	0.02842383
38	0	-54.23602	-58.77616	4.540142	0.06939615	0.002448501	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.0171284	0.002934532	0.0693962	0.06939615	0.2468205
39	1	-55.96892	-61.12225	5.153337	0.05812795	0.001635529	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00809697	0.00878919	0.058128	0.05812795	0.1392956
40	0	-53.62666	-58.29266	4.666006	0.06745297	0.001575015	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.00782417	0.002665547	0.067453	0.06745297	0.1159944
41	1	-53.27993	-58.50299	5.223061	0.05812795	0.001205363	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.00813222	0.002246942	0.058128	0.05812795	0.1399021
42	0	-54.41942	-59.09391	4.674494	0.06745297	0.002268586	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.0268856	0.001123102	0.067453	0.06745297	0.3985835
43	1	-52.25351	-57.49293	5.23942	0.05812795	0.001280599	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.00126254	0.0005358421	0.058128	0.05812795	0.02172009
44	0	-55.97065	-61.31316	5.342508	0.05487287	0.009340649	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.0040424	0.001336961	0.0548729	0.05487287	0.07366842
45	1	-53.81444	-58.76889	4.954456	0.06275677	0.002719831	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0191917	0.0003326975	0.0627568	0.06275677	0.3058105
46	0	-59.87907	-65.81697	5.937905	0.04325762	0.017872	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.00309769	0.001671037	0.0432576	0.04325762	0.07161019
47	1	-53.71204	-58.65029	4.938249	0.06275677	0.003560151	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.00854013	0.001113144	0.0627568	0.06275677	0.1360829
48	0	-59.86783	-65.78763	5.9198	0.04325762	0.01630278	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.00209477	0.005050742	0.0432576	0.04325762	0.04842551
49	1	-57.18053	-62.05453	4.874008	0.06275677	0.00784998	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.0220437	0.003247428	0.0627568	0.06275677	0.3512565
50	0	-59.29534	-63.07566	3.780325	0.07957204	0.0139436	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.0156656	0.007492742	0.079572	0.07957204	0.1968728
51	1	-52.88619	-57.84447	4.958276	0.06275677	0.001678669	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.009954	0.0009919224	0.0627568	0.06275677	0.1586123
52	0	-57.36186	-61.23454	3.872677	0.07957204	0.00407115	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.0105651	0.00813002	0.079572	0.07957204	0.1327737
53	1	-53.18302	-58.13289	4.949867	0.06275677	0.001314439	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.00761236	0.002197059	0.0627568	0.06275677	0.1212994
54	0	-57.54033	-61.98105	4.440722	0.0692843	0.005434953	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.0158263	0.01054878	0.0692843	0.0692843	0.2284251
