Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-289.4598	-292.8966	3.436823	0.01006156	0.1067731
1	1	-312.8126	-315.5186	2.705959	0.129631	0.06029008
2	2	-312.8126	-315.5186	2.705959	0.129631	0.06029008
3	3	-288.4409	-291.9293	3.488332	0.1098516	0.001832206
4	4	-264.1586	-268.1756	4.016921	0.008776773	0.05004815
5	0	-246.0512	-249.8396	3.788458	0.0108307	0.07084047
6	1	-268.4976	-271.8116	3.31398	0.0751032	0.05401583
7	2	-268.4976	-271.8116	3.31398	0.0751032	0.05401583
8	3	-251.1849	-255.1919	4.006996	0.0576858	0.00213167
9	4	-239.7188	-243.5305	3.811685	0.003610922	0.07573763
10	0	-244.5481	-247.6306	3.0825	0.03753652	0.1147305
11	1	-244.6017	-245.6116	1.009862	0.1975687	0.1619621
12	2	-244.6017	-245.6116	1.009862	0.1975687	0.1619621
13	3	-240.5794	-243.6769	3.097582	0.1440359	0.006722892
14	4	-240.7302	-243.7098	2.979594	0.006530093	0.1560276
15	0	-240.1575	-244.2052	4.047687	0.02771533	0.02803302
16	1	-241.9791	-244.5386	2.559532	0.1240005	0.08056335
17	2	-241.9791	-244.5386	2.559532	0.1240005	0.08056335
18	3	-239.4274	-243.4376	4.01026	0.05692085	0.002570188
19	4	-239.975	-243.7668	3.791795	0.007977263	0.07336028
20	0	-240.9674	-245.1048	4.137388	0.01145	0.0353282
21	1	-240.3992	-243.5563	3.157164	0.09996377	0.04483688
22	2	-240.3992	-243.5563	3.157164	0.09996377	0.04483688
23	3	-240.2864	-243.862	3.575571	0.1002835	0.002676426
24	4	-240.4253	-243.681	3.255644	0.03789366	0.09705892
25	0	-239.4891	-243.5034	4.01434	0.01765412	0.04142888
26	1	-240.8222	-243.4994	2.677172	0.134273	0.05852689
27	2	-240.8222	-243.4994	2.677172	0.134273	0.05852689
28	3	-239.4139	-243.3986	3.984658	0.048872	0.01317925
29	4	-239.9293	-243.524	3.594682	0.04334589	0.05770296
30	0	-239.9686	-244.0328	4.064221	0.0342558	0.01983912
31	1	-240.9975	-243.764	2.766523	0.1247819	0.05908289
32	2	-240.9975	-243.764	2.766523	0.1247819	0.05908289
33	3	-239.7948	-243.5865	3.791686	0.07655914	0.004789301
34	4	-240.6391	-243.8827	3.243617	0.07895194	0.05720341
35	0	-242.1378	-246.2699	4.132165	0.02171724	0.02558324
36	1	-240.3327	-243.6338	3.301043	0.09573187	0.03468081
37	2	-240.3327	-243.6338	3.301043	0.09573187	0.03468081
38	3	-239.4595	-243.4577	3.998184	0.05288158	0.00781701
39	4	-240.6391	-243.8827	3.243617	0.07895194	0.05720341
40	0	-240.5967	-244.6483	4.051659	0.02603921	0.0293119
41	1	-241.0985	-243.7546	2.656142	0.05975213	0.1351506
42	2	-241.0985	-243.7546	2.656142	0.05975213	0.1351506
43	3	-240.5743	-243.4984	2.924016	0.1420032	0.02611212
44	4	-240.4096	-243.4513	3.041661	0.0753715	0.08097945
45	0	-240.1314	-243.8592	3.727745	0.06812909	0.0196134
46	1	-241.1617	-244.1229	2.961218	0.09724127	0.06715394
47	2	-241.1617	-244.1229	2.961218	0.09724127	0.06715394
48	3	-242.1169	-243.8526	1.735674	0.2575977	0.02935199
49	4	-240.5684	-244.1306	3.562241	0.0753715	0.0289214
50	0	-240.099	-243.7962	3.69716	0.06890617	0.02189489
51	1	-241.0888	-244.3486	3.25975	0.07233306	0.06220899
52	2	-241.0888	-244.3486	3.25975	0.07233306	0.06220899
53	3	-244.0008	-243.9783	-0.02247732	0.4403336	0.02243117
54	4	-240.9904	-244.4188	3.428416	0.06520575	0.05246971
55	0	-241	-244.4254	3.425412	0.06293898	0.05503686
56	1	-240.4895	-244.2773	3.78787	0.01734301	0.06438702
57	2	-240.4895	-244.2773	3.78787	0.01734301	0.06438702
58	3	-241.1974	-243.4211	2.223768	0.2097783	0.02836189
59	4	-241.3872	-245.1713	3.784112	0.0482736	0.03383226
60	0	-240.9503	-244.7559	3.805547	0.04047921	0.03948314
61	1	-239.6301	-243.7985	4.168396	0.01122874	0.03244868
62	2	-239.6301	-243.7985	4.168396	0.01122874	0.03244868
63	3	-241.99	-243.8955	1.905432	0.2598595	0.01011428
64	4	-239.6462	-243.451	3.804812	0.03821487	0.04182092
65	0	-240.5305	-244.0614	3.530997	0.06278981	0.04462752
66	1	-239.7529	-243.915	4.162054	0.01838145	0.02593021
67	2	-239.7529	-243.915	4.162054	0.01838145	0.02593021
68	3	-243.8037	-243.9066	0.1028803	0.42005	0.03017903
69	4	-241.5418	-243.8097	2.267891	0.09537367	0.1383543
70	0	-239.857	-243.9693	4.112308	0.02999126	0.01929496
71	1	-240.0672	-244.249	4.181772	0.03393571	0.008404069
72	2	-240.0672	-244.249	4.181772	0.03393571	0.008404069
73	3	-241.8817	-243.6838	1.802157	0.2580478	0.02225359
74	4	-240.509	-243.5018	2.9928	0.08886801	0.07236899
75	0	-241.1096	-244.5775	3.467897	0.04651889	0.06720846
76	1	-240.3903	-244.4118	4.02149	0.04060621	0.0177618
