Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-82.45494	-81.79372	-0.6612206	0.4756725	0.05096659
1	1	-20.17666	-21.18854	1.011878	0.1310133	0.2283159
2	2	-14.63114	-16.8033	2.172154	0.156743	0.08655858
3	0	-9.292927	-13.19938	3.906455	0.01972704	0.0501445
4	1	-12.15743	-15.47149	3.314052	0.03793457	0.09117725
5	2	-13.77266	-16.02177	2.24911	0.113732	0.121874
6	0	-3.560334	-8.048907	4.488574	0.00297678	0.008682886
7	1	-9.93598	-13.69735	3.761373	0.04418886	0.04019089
8	2	-9.141561	-13.07644	3.934876	0.02666312	0.04036632
9	0	-6.264463	-10.59809	4.333625	0.01405187	0.01310261
10	1	-7.632244	-11.82002	4.187777	0.03104054	0.01069878
11	2	-7.600259	-11.79173	4.191471	0.0294301	0.01193985
12	0	-2.365978	-6.887934	4.521957	0.002822046	0.005499315
13	1	-9.006493	-12.9709	3.964411	0.04762928	0.01644664
14	2	-4.273774	-8.733115	4.459341	0.009871723	0.004711165
15	0	-1.972237	-6.504016	4.531779	0.004745689	0.002593436
16	1	-12.4881	-15.92549	3.437388	0.02724822	0.08953
17	2	-6.195782	-10.54218	4.346402	0.02223867	0.003638128
18	0	-1.593176	-6.133631	4.540455	0.003817261	0.00265421
19	1	-8.459935	-12.52116	4.061225	0.0306217	0.02377279
20	2	-7.370223	-11.59148	4.221256	0.0280551	0.01033629
21	0	-0.1657268	-4.73745	4.571723	0.002799928	0.0005447451
22	1	-7.722573	-11.89592	4.173342	0.01876444	0.02441833
23	2	-9.85004	-13.63492	3.784875	0.06397711	0.01805242
24	0	-0.5427657	-5.107441	4.564675	0.003472428	0.0005770512
25	1	-3.705431	-8.186025	4.480594	0.00451687	0.007940765
26	2	-10.66229	-14.28803	3.625738	0.08335083	0.01459234
27	0	0.5205211	-4.063547	4.584068	0.001345466	0.0007647284
28	1	-1.56585	-6.107383	4.541534	0.002181144	0.004182521
29	2	-9.664811	-13.49061	3.825801	0.05280225	0.02513462
30	0	0.03532526	-4.539723	4.575048	0.002093114	0.0009190824
31	1	0.02870064	-4.546004	4.574704	0.001637943	0.001408654
32	2	-8.017837	-12.15123	4.133388	0.03541724	0.01176099
33	0	-0.1035025	-4.676292	4.572789	0.002633571	0.0006045083
34	1	0.7833814	-3.805471	4.588853	0.000648797	0.0009829624
35	2	-7.080051	-11.33506	4.255012	0.02442707	0.01058872
36	0	0.3689266	-4.212272	4.581198	0.001056992	0.001340201
37	1	-1.456906	-6.001442	4.544536	0.001724979	0.004338443
38	2	-2.891204	-7.398334	4.507131	0.006303746	0.003500206
39	0	-0.9321519	-5.487606	4.555454	0.001761115	0.003210546
40	1	-0.6736953	-5.235354	4.561659	0.003452468	0.0008986967
41	2	-3.521516	-8.009458	4.487942	0.007930857	0.003791963
42	0	-2.770404	-7.287439	4.517035	0.0008667944	0.007946677
43	1	-0.7395334	-5.300788	4.561254	0.003958393	0.0004332068
44	2	-2.967061	-7.473756	4.506695	0.002660427	0.007187072
45	0	-3.495388	-7.992742	4.497353	0.0008058446	0.009975853
46	1	-2.225938	-6.757589	4.531652	0.007026251	0.0003255907
47	2	-4.433398	-8.88891	4.455512	0.003487705	0.01147809
48	0	-1.150845	-5.701519	4.550674	0.002006237	0.003443399
49	1	-2.356387	-6.885014	4.528627	0.007296417	0.0003579046
50	2	-4.309501	-8.772815	4.463314	0.002468847	0.01171675
51	0	0.2003706	-4.37763	4.578	0.001443991	0.001273005
52	1	-4.728513	-9.178256	4.449742	0.01520705	0.0003357483
53	2	-3.812301	-8.287757	4.475456	0.007308472	0.005662919
54	0	-3.614547	-8.096962	4.482415	0.005821942	0.006453605
55	1	-2.236005	-6.768024	4.53202	0.007156362	0.0001586964
56	2	-3.021457	-7.529473	4.508017	0.008074273	0.001641094
57	0	-4.788928	-9.222086	4.433158	0.007030699	0.0101705
58	1	-0.6314209	-5.195375	4.563954	0.004004351	0.0001172436
59	2	-0.2839352	-4.853082	4.569147	0.002761302	0.0008410098
60	0	-9.832308	-13.81808	3.985768	0.002904956	0.05903524
61	1	0.5005517	-4.083698	4.58425	0.002016624	7.54376e-05
62	2	-3.225553	-7.730761	4.505208	0.009178862	0.0008173082
