Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-65.74478	-78.40913	12.66435	0.002808848	0.02109232	0.003687823	0.03319379	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.0110356	0.2396236	0.00368782	0.00280885	0.0210923	0.027589	0.4
1	1	-47.38192	-60.10047	12.71855	0.002285162	0.01299873	0.001089491	0.1308431	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.00654935	0.2131538	0.00108949	0.00228516	0.0129987	0.01637339	0.4
2	2	-49.99812	-60.17246	10.17434	0.01915793	0.0170663	0.04065178	0.04461231	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.0307504	0.1405901	0.0406518	0.0191579	0.0170663	0.07687601	0.4
3	3	-59.7787	-71.70585	11.92716	0.04679652	0.0008715699	0.009972189	0.01455054	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.0230561	0.1267448	0.00997219	0.0467965	0.00087157	0.05764028	0.4
4	0	-44.26952	-53.61607	9.346549	0.008255785	0.06888565	0.002969351	0.08640633	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.0481597	0.1594826	0.00296935	0.00825579	0.0688856	0.08011079	0.6011634
5	1	-38.90351	-50.97644	12.07293	0.00498456	0.002336789	0.02316922	0.1677747	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.00567104	0.1443682	0.0231692	0.00498456	0.00233679	0.03049057	0.1859933
6	2	-38.57723	-52.74237	14.16514	0.00106959	0.007988787	0.009006688	0.09207247	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.00110398	0.09571182	0.00900669	0.00106959	0.00798879	0.01806506	0.06111137
7	3	-35.09698	-49.6087	14.51172	0.007151921	0.01581163	0.004590854	0.02448571	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.00164139	0.06383089	0.00459085	0.00715192	0.0158116	0.0275544	0.05956904
8	0	-40.052	-52.68052	12.62852	0.00967671	0.01820955	0.003980743	0.1390832	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.0116189	0.1080992	0.00398074	0.00967671	0.0182095	0.031867	0.3646059
9	1	-34.37853	-48.50963	14.1311	0.004087229	0.002974877	0.02316922	0.03510452	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.00282192	0.07299152	0.0231692	0.00408723	0.00297488	0.03023133	0.09334415
