Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-49.04583	-55.3694	6.323565	0.01611705	0.04286919	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.00644682	0.09760336	0.016117	0.01611705	0.4
1	1	-53.98229	-60.60104	6.618758	0.007982578	0.1220763	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.00319303	0.04443291	0.00798258	0.007982578	0.4
2	0	-42.85587	-49.76437	6.908491	0.02013856	0.01654011	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.0061415	0.03797397	0.0201386	0.02013856	0.3049619
3	1	-43.00084	-50.04603	7.045184	0.01702488	0.01262193	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.00171711	0.04948838	0.0170249	0.01702488	0.1008587
4	0	-38.85901	-45.70652	6.847509	0.02364947	0.0146807	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.000439393	0.02195314	0.0236495	0.02364947	0.0185794
5	1	-38.3181	-45.37807	7.059971	0.02182256	0.009595502	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.000258204	0.01826945	0.0218226	0.02182256	0.01183198
6	0	-37.01355	-43.35506	6.341509	0.03349426	0.005516341	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.00135311	0.01448042	0.0334943	0.03349426	0.04039841
7	1	-39.10468	-46.47623	7.371551	0.01779266	0.006271947	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.000199162	0.01795802	0.0177927	0.01779266	0.01119348
8	0	-34.02958	-40.49425	6.464668	0.03349426	0.0009568079	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.0039305	0.00672409	0.0334943	0.03349426	0.1173485
9	1	-36.29487	-42.09603	5.801165	0.04298472	0.001805314	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.00360846	0.007408827	0.0429847	0.04298472	0.08394739
