Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
0	0	-26.34928	-30.68097	4.331693	0.01801476	0.00933297
1	1	-46.69027	-47.55899	0.868714	0.2305733	0.1430724
2	0	-28.9757	-33.02097	4.045276	0.03112148	0.02486791
3	1	-39.16002	-41.79616	2.636137	0.1109598	0.08594356
4	0	-29.01364	-33.02992	4.016281	0.04638728	0.01250168
5	1	-31.06638	-34.87959	3.81321	0.05242265	0.02677333
6	0	-30.81862	-34.64987	3.831251	0.06710331	0.01028866
7	1	-31.14283	-34.94018	3.797349	0.06720715	0.01357499
8	0	-26.64565	-30.88604	4.240386	0.02968341	0.006794979
9	1	-26.90603	-31.13267	4.226638	0.02833422	0.009519024
10	0	-28.67335	-32.73438	4.061029	0.03613452	0.01827956
11	1	-28.85655	-32.89823	4.041685	0.03794307	0.0184055
12	0	-26.56398	-30.92768	4.363699	0.01401375	0.01013332
13	1	-26.87268	-31.16063	4.287952	0.01779545	0.01392642
14	0	-26.27414	-30.57036	4.296224	0.02388352	0.007011095
15	1	-26.40049	-30.652	4.251504	0.03150689	0.003859745
16	0	-26.40625	-30.67961	4.273368	0.02617278	0.007007456
17	1	-25.91941	-30.2049	4.285488	0.03130317	0.0006650469
18	0	-26.7477	-31.04709	4.299387	0.01773598	0.01284233
19	1	-25.78612	-30.23599	4.449874	0.01507584	0.0004537647
20	0	-26.67134	-30.97659	4.305243	0.01781689	0.01217582
21	1	-27.4784	-31.62499	4.146591	0.04530039	0.0005575411
22	0	-26.74837	-31.0482	4.299834	0.01768179	0.01285182
23	1	-25.94951	-30.23462	4.285107	0.03062403	0.001382289
24	0	-26.34254	-30.62083	4.278295	0.02608956	0.00659799
25	1	-26.29263	-30.54992	4.257291	0.03220889	0.002579064
26	0	-30.1145	-34.0256	3.911105	0.04942947	0.01997706
27	1	-33.931	-37.40375	3.472752	0.09363483	0.01960698
28	0	-26.27674	-30.5587	4.281958	0.02624458	0.006076633
29	1	-27.04107	-31.23776	4.196684	0.03471291	0.006135712
30	0	-28.07181	-32.30644	4.234628	0.01160246	0.02545174
31	1	-27.24606	-31.56744	4.321373	0.01191551	0.0164642
32	0	-29.26246	-33.30413	4.041669	0.02352093	0.03282921
33	1	-29.24098	-33.24256	4.001582	0.04166247	0.01869636
34	0	-29.31516	-33.29837	3.98321	0.05346026	0.008735755
35	1	-31.58163	-35.33206	3.750436	0.07792478	0.007548667
36	0	-26.35546	-30.66897	4.313514	0.02018121	0.008984364
37	1	-26.2459	-30.54647	4.300571	0.02353329	0.006926654
38	0	-28.8804	-32.97667	4.096273	0.01910103	0.03178873
39	1	-26.50914	-30.86492	4.355775	0.01481295	0.01012656
40	0	-30.1628	-34.16947	4.006676	0.01069053	0.04915892
41	1	-26.66479	-30.91833	4.253543	0.02633665	0.008826033
42	0	-30.96399	-34.78474	3.820749	0.05662584	0.02181631
43	1	-26.57818	-30.81595	4.237776	0.03190298	0.004836469
44	0	-27.552	-31.7269	4.174906	0.02841916	0.01460726
45	1	-26.35651	-30.61708	4.260575	0.02966063	0.004798934
46	0	-30.12076	-34.0233	3.902536	0.06301895	0.007244512
47	1	-29.57286	-33.5293	3.956445	0.05913103	0.005741472
48	0	-26.30167	-30.59889	4.29722	0.02339012	0.007404866
49	1	-25.83201	-30.21373	4.381722	0.01836066	0.003984149
50	0	-28.12617	-32.2581	4.131934	0.02686889	0.02045469
51	1	-26.63508	-30.90137	4.26629	0.02418275	0.009705264
52	0	-26.28279	-30.65515	4.372356	0.01517232	0.008109122
53	1	-26.67596	-31.062	4.38604	0.0124043	0.009508724
54	0	-28.14049	-32.27135	4.130864	0.02682386	0.02060675
55	1	-27.45221	-31.7974	4.345193	0.009669569	0.01632816
56	0	-27.74749	-31.8785	4.131009	0.04053273	0.006883383
57	1	-29.55003	-33.64327	4.093232	0.008842042	0.04235174
58	0	-25.75392	-30.07613	4.32221	0.02504499	0.003251027
59	1	-26.21231	-30.6182	4.405887	0.01389571	0.006032624
60	0	-27.9017	-32.01164	4.109942	0.04809324	0.001429587
61	1	-26.62977	-30.89018	4.26041	0.02546113	0.009014862
62	0	-25.88286	-30.3231	4.440242	0.01531394	0.001178848
63	1	-29.66393	-33.73367	4.069737	0.009986873	0.04355649
64	0	-25.31268	-29.68342	4.370744	0.02191274	0.001529883
65	1	-29.64347	-33.7859	4.142425	0.004313399	0.04196115
66	0	-26.56224	-31.02077	4.458528	0.01252353	0.002140651
67	1	-30.19104	-34.35656	4.165521	0.0007284917	0.04323647
68	0	-25.40468	-29.79647	4.391797	0.01961342	0.001723884
69	1	-31.69634	-35.63425	3.937912	0.002451133	0.06427472
70	0	-26.43239	-30.67464	4.242252	0.03448344	0.001808344
71	1	-29.12372	-33.53017	4.406452	0.004200142	0.01567168
72	0	-25.68136	-30.08795	4.406591	0.01756648	0.002291444
73	1	-27.44234	-31.85729	4.414945	0.008716048	0.01030651
74	0	-28.76602	-32.81378	4.047757	0.03904518	0.01669613
75	1	-28.05163	-32.25884	4.207213	0.01432921	0.02546653
76	0	-26.89172	-31.12372	4.232003	0.0272759	0.01004078
77	1	-26.51526	-30.77606	4.260805	0.02711831	0.007318175
78	0	-28.52531	-32.61143	4.086127	0.03068573	0.02121861
79	1	-27.72907	-31.90812	4.179043	0.0234807	0.01913201
80	0	-27.56973	-31.88181	4.312081	0.01034545	0.01896346
81	1	-28.85739	-33.03811	4.180727	0.00882302	0.0336213
82	0	-27.81347	-32.0575	4.244028	0.01303617	0.02307807
83	1	-29.31222	-33.46045	4.148234	0.006856867	0.03883675
84	0	-27.56505	-31.73813	4.173084	0.02865229	0.01455633
85	1	-27.43694	-31.72945	4.292511	0.01232841	0.01893754
86	0	-28.88127	-32.92353	4.042264	0.03641338	0.01987728
87	1	-28.5229	-32.6188	4.095897	0.02738048	0.02354681
88	0	-26.51804	-30.77126	4.253223	0.02873082	0.006463885
89	1	-25.7701	-30.13104	4.360941	0.02046514	0.003957794
90	0	-25.98499	-30.34398	4.358992	0.01897739	0.005640428
91	1	-25.37529	-29.72476	4.34947	0.02409109	0.001478956
92	0	-26.40249	-30.69735	4.294863	0.02244149	0.008589245
93	1	-27.11334	-31.594	4.480654	0.01173972	0.0007119283
94	0	-26.52294	-30.76716	4.24422	0.03105742	0.005037567
95	1	-27.57326	-31.71172	4.138459	0.04591139	0.0007596833
96	0	-25.30362	-29.65681	4.35319	0.0240809	0.001117108
97	1	-25.14973	-29.50672	4.35699	0.02470955	0.0001084232
98	0	-25.14651	-29.51795	4.37144	0.02268864	0.0006843353
99	1	-25.31926	-29.6611	4.341843	0.02582827	0.0005044601
100	0	-25.69532	-30.00005	4.304723	0.02966137	0.0003833244
101	1	-25.19081	-29.54623	4.355425	0.0246162	0.0003583591
102	0	-25.73486	-30.11733	4.382471	0.01888944	0.003380434
103	1	-25.96479	-30.40427	4.439484	0.01512142	0.001447205
104	0	-30.75278	-34.59192	3.839143	0.07423678	0.002365895
105	1	-25.41434	-29.79481	4.380471	0.02052318	0.001946729
106	0	-27.4922	-31.64245	4.150249	0.04133148	0.004160593
107	1	-25.96669	-30.26403	4.297339	0.02709731	0.003685806
108	0	-26.34799	-30.79028	4.442296	0.01271484	0.003572618
109	1	-26.03169	-30.34173	4.31004	0.02435143	0.00516157
110	0	-25.68292	-30.04296	4.360041	0.02107068	0.003442194
111	1	-26.16938	-30.57894	4.40956	0.0140688	0.005492244
112	0	-26.51033	-30.75722	4.246899	0.03051153	0.005315631
113	1	-28.54117	-32.64189	4.100722	0.02545631	0.02498854
114	0	-25.30684	-29.68769	4.380854	0.02094099	0.001490627
115	1	-27.48995	-31.66898	4.179033	0.0287159	0.01389783
116	0	-26.80276	-31.10563	4.302866	0.01687816	0.01335222
117	1	-29.15047	-33.20557	4.055103	0.0227314	0.0322753
118	0	-26.80423	-31.07544	4.271211	0.02074882	0.01264706
119	1	-27.81749	-31.99645	4.178963	0.02188635	0.02073436
120	0	-27.37156	-31.61723	4.245665	0.0174586	0.01849197
121	1	-27.17164	-31.42827	4.256631	0.0183975	0.01645642
122	0	-26.59845	-30.89785	4.299391	0.01922674	0.0113512
123	1	-29.85303	-33.81381	3.960783	0.03257425	0.03186443
124	0	-29.09338	-33.10782	4.014435	0.04196798	0.01710553
125	1	-27.43915	-31.64046	4.201315	0.02393492	0.01645057
126	0	-27.6498	-31.78958	4.139773	0.0399235	0.006616186
127	1	-26.36126	-30.64439	4.283123	0.02499555	0.007209156
128	0	-26.4535	-30.73505	4.28154	0.02403978	0.008323217
129	1	-27.70087	-31.87006	4.169196	0.02648049	0.01711698
130	0	-26.08317	-30.50662	4.423456	0.01472165	0.003449758
131	1	-26.38128	-30.77828	4.397006	0.01331754	0.007498902
132	0	-26.61331	-31.0482	4.434896	0.011224	0.005803393
133	1	-27.23451	-31.59398	4.359466	0.01037482	0.01419555
134	0	-26.69455	-30.98727	4.292711	0.01903847	0.01220742
135	1	-28.97268	-33.06503	4.092349	0.01812937	0.03315275
136	0	-26.99907	-31.20443	4.205353	0.03249775	0.007483992
137	1	-26.86858	-31.27606	4.407483	0.01095468	0.008814084
138	0	-25.8671	-30.18584	4.318738	0.02458078	0.004062446
139	1	-26.96461	-31.16385	4.199242	0.03632754	0.004265244
140	0	-27.91776	-32.02842	4.110659	0.04578914	0.003662011
141	1	-27.131	-31.31123	4.18023	0.04002481	0.002469166
142	0	-27.20278	-31.42818	4.225403	0.02299143	0.01498533
143	1	-25.90786	-30.27376	4.365904	0.01903995	0.004886692
144	0	-25.7754	-30.1089	4.333504	0.02335324	0.003813414
145	1	-26.00131	-30.29762	4.296307	0.02688202	0.004004335
146	0	-26.8294	-31.14797	4.318567	0.01526423	0.01339614
147	1	-26.57573	-30.81203	4.236301	0.03251792	0.004369037
148	0	-27.41959	-31.63959	4.220005	0.02065148	0.01786506
149	1	-29.14586	-33.17042	4.024569	0.03345105	0.02460905
150	0	-30.13262	-34.59099	4.458374	0.003392957	0.01128669
151	1	-28.45022	-32.85263	4.402409	0.005556659	0.01471951
152	0	-29.18979	-33.39956	4.209767	0.005027157	0.03451315
153	1	-27.69216	-32.083	4.390847	0.007782097	0.01365021
154	0	-28.66375	-32.94109	4.277341	0.006017526	0.02676538
155	1	-26.13154	-30.49998	4.368431	0.01663671	0.007037244
156	0	-26.31407	-30.67741	4.363342	0.01556439	0.008618418
157	1	-27.05642	-31.24866	4.192241	0.03634002	0.004952905
158	0	-27.37927	-31.58061	4.201341	0.02507232	0.01531063
159	1	-26.75113	-31.07343	4.322299	0.01556963	0.0127175
160	0	-26.99781	-31.25733	4.259516	0.02007434	0.01449112
161	1	-26.91745	-31.21766	4.300217	0.01611869	0.01437665
162	0	-26.46126	-30.71917	4.257909	0.02855732	0.006168782
163	1	-26.97968	-31.20312	4.223446	0.02770362	0.01046878
164	0	-26.0098	-30.33094	4.321144	0.02303301	0.005369655
165	1	-26.06099	-30.46873	4.407743	0.01506937	0.004673377
166	0	-27.97847	-32.09092	4.112449	0.04034411	0.008928014
167	1	-27.17754	-31.37365	4.196108	0.03110699	0.009799244
