Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
0	0	-183.7175	-194.7892	11.07167	0.009197646	0.006901141	0.03645647	0.0575568	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.0210221	0.1986383	0.0364565	0.00919765	0.00690114	0.05255526	0.4
1	1	-166.0984	-177.9309	11.83249	0.05937146	0.01427255	0.002872504	0.01146147	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.0306066	0.06495177	0.0028725	0.0593715	0.0142725	0.07651651	0.4
2	0	-158.3	-169.649	11.34901	0.01454647	0.03248407	0.03645647	0.04409288	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.0387316	0.05050018	0.0364565	0.0145465	0.0324841	0.08348702	0.4639238
3	1	-160.3935	-170.5823	10.1888	0.05937146	0.05183512	0.009907906	0.004292271	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.0746733	0.04347646	0.00990791	0.0593715	0.0518351	0.1211145	0.6165514
4	0	-151.4234	-164.412	12.98857	0.007008842	0.01814897	0.0351688	0.01925429	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.00698084	0.01161754	0.0351688	0.00700884	0.018149	0.06032661	0.1157174
5	1	-159.2559	-170.249	10.99308	0.05937146	0.04450074	0.004932229	0.005965581	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.0645237	0.01465119	0.00493223	0.0593715	0.0445007	0.1088044	0.5930244
6	0	-149.1157	-162.4485	13.3328	0.004777997	0.01126693	0.04026545	0.01038202	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.00766662	0.003449086	0.0402655	0.004778	0.0112669	0.05631038	0.1361493
7	1	-150.7475	-163.6145	12.867	0.01749119	0.01158532	0.03822209	0.006198031	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.00565565	0.006657457	0.0382221	0.0174912	0.0115853	0.0672986	0.08403814
8	0	-149.8276	-162.0546	12.22703	0.00853405	0.01265334	0.06013971	0.008023107	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.0387581	0.008115737	0.0601397	0.00853405	0.0126533	0.0813271	0.476571
9	1	-151.3179	-164.1761	12.85826	0.01068766	0.01430307	0.03822209	0.0215619	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.00184044	0.009850281	0.0382221	0.0106877	0.0143031	0.06321282	0.02911505
10	0	-149.6188	-162.3148	12.69595	0.006194421	0.003496226	0.0620511	0.002220853	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.0137017	0.008510038	0.0620511	0.00619442	0.00349623	0.07174175	0.1909862
11	1	-150.5917	-163.5142	12.9225	0.01017224	0.01502116	0.03822209	0.02107336	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.00210492	0.003037562	0.0382221	0.0101722	0.0150212	0.06341549	0.03319252
12	0	-149.2699	-161.604	12.33415	0.009818873	0.007344321	0.0620511	0.002737776	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.0296003	0.01183297	0.0620511	0.00981887	0.00734432	0.0792143	0.3736743
13	1	-146.7455	-158.762	12.01648	0.001239026	0.002427767	0.08106426	0.0196942	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.0381636	0.002767846	0.0810643	0.00123903	0.00242777	0.08473106	0.4504085
14	0	-148.9842	-161.1806	12.19638	0.005050836	0.004884572	0.07223405	0.002627199	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.01293116	0.0722341	0.00505084	0.00488457	0.08216946	0.3882296
