Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
0	0	-171.114	-177.0223	5.908301	0.04162901	0.04678263	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.0166516	0.01950577	0.041629	0.04162901	0.4
1	1	-222.9254	-229.8609	6.935511	0.006818996	0.03672665	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.0027276	0.07749329	0.006819	0.006818996	0.4
2	2	-228.0311	-232.9391	4.908069	0.008486117	0.1743038	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.00339445	0.1354452	0.00848612	0.008486117	0.4
3	3	-396.3513	-400.8544	4.503117	0.009723793	0.002313303	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.00388952	0.3425745	0.00972379	0.009723793	0.4
4	0	-157.4863	-162.9508	5.464431	0.05664176	0.02431676	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.0113931	0.02138571	0.0566418	0.05664176	0.2011433
5	1	-155.8727	-161.5591	5.68646	0.0556495	0.0135067	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.00713318	0.01428724	0.0556495	0.0556495	0.1281805
6	2	-157.4764	-162.0219	4.545564	0.07403936	0.04190705	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.0206958	0.02038791	0.0740394	0.07403936	0.2795241
7	3	-161.826	-166.3472	4.521215	0.06750965	0.02090441	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.0229916	0.07208498	0.0675097	0.06750965	0.3405681
8	0	-155.9474	-160.9356	4.988198	0.06780411	0.02937003	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.00857975	0.01564676	0.0678041	0.06780411	0.1265374
9	1	-154.6154	-159.7897	5.174234	0.06730789	0.01978574	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.00667835	0.008774982	0.0673079	0.06730789	0.09922095
10	2	-156.0995	-160.8801	4.780668	0.07403936	0.03340419	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.0323687	0.005380364	0.0740394	0.07403936	0.4371819
11	3	-156.9957	-162.0532	5.057487	0.06750965	0.006580204	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.0143378	0.03278199	0.0675097	0.06750965	0.2123812
12	0	-154.6018	-159.003	4.401176	0.08349491	0.03297988	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.0352807	0.002831667	0.0834949	0.08349491	0.4225489
13	1	-154.0443	-159.2755	5.231236	0.06730789	0.02000061	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.0191612	0.002859949	0.0673079	0.06730789	0.2846794
